,_5,Penta,Triple,256GB 8GB RAM,Alarm,SIM,Stand-by_1,NFC,Dual,Browser,Camera,Build,Bluetooth,Radio,Protection,64GB 4GB RAM,Features_1,Colors,Quad,Features,Games,128GB 6GB RAM,Talk time,GPU,128GB 4GB RAM,Audio quality,Loudspeaker,64GB 3GB RAM,128MB 48MB RAM,Model Name,Dimensions,Messaging,4G bands,3G bands,Resolution,CPU,Battery (old),USB,Technology,Weight,OS,5G bands,4MB,Display,Alert types,Model Image,Performance,Models,_2,Chipset,Status,Java,Call records,Type,32GB 3GB RAM,_6,Internal,Speed,_4,SAR EU,_1,Price,Stand-by,Card slot,Video,Clock,SAR,Type_1,Announced,Brand,Phonebook,Talk time_1,Charging,WLAN,EDGE,_3,Keyboard,4GB 512MB RAM,Languages,GPRS,3.5mm jack,Single_1,Positioning,Single,Size,Music play,128MB 64MB RAM,Infrared port,Loudspeaker_1,Sensors,2G bands,Video_1
FlashlightSplash resistant,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP",Wireless FM radio,,,,"Midnight Blue, Arctic Purple",,,Yes,,,,,,Yes,,,Nokia 110 4G (2023),121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),SMS,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 2.0,GSM / HSPA / LTE,94.5 g (3.35 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2023.jpg,,,MP3 player,,"Available. Released 2023, June",No,Yes,"TFT LCD, 65K colors",,,Unspecified,"HSPA, LTE",,,No,About 40 EUR,,microSDHC,,,,Li-Ion 1450 mAh,"2023, May 18",Nokia,Yes,,,No,,,,,,,Yes,,No,QVGA,"1.8 inches, 10.0 cm2(~16.5% screen-to-body ratio)",,,,,,GSM 900 / 1800,
FlashlightSplash resistant,,,,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",,No,,,,,No,Wireless FM radio,,,,"Charcoal, Cloudy Blue",,,Yes,,,,,,Yes,,,Nokia 110 (2023),115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),SMS,,,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 1.1,GSM,79.6 g (2.82 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-2023.jpg,,,MP3 player,,"Available. Released 2023, June 01",No,Yes,"TFT LCD, 65K colors",,,Unspecified,,,,No,About 50 EUR,,microSDHC,,,,Li-Ion 1000 mAh,"2023, May 18",Nokia,Yes,,,No,Yes,,,,,Yes,No,,No,QVGA,"1.8 inches, 10.0 cm2(~17.6% screen-to-body ratio)",,,,,,GSM 900 / 1800,
FlashlightSplash resistant,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP",Wireless FM radio,,,,"Charcoal, Ocean Blue",,,Yes,,,,,,Yes,,,Nokia 106 4G (2023),121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),SMS,"1, 3, 5, 8",HSDPA 850 / 900 / 2100,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 2.0,GSM / HSPA / LTE,93 g (3.28 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2023.jpg,,,MP3 player,,"Available. Released 2023, May 18",No,Yes,IPS LCD,,,Unspecified storage,"HSPA, LTE",,,No,About 30 EUR,,microSDHC,,,,"Li-Ion 1450 mAh, removable","2023, May 18",Nokia,Yes,,,No,,,,,,,Yes,,No,,"1.8 inches, 10.0 cm2(~16.5% screen-to-body ratio)",,,,,,GSM 900 / 1800,
FlashlightSplash resistant,,,,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",,No,,,,,No,Wireless FM radio,,,,"Red Terracotta, Emerald Green, Charcoal",,,Yes,,,,,,Yes,,,Nokia 106 (2023),115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),SMS,,,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 1.1,GSM,79.4 g (2.79 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-106-2023.jpg,,TA-1553,MP3 player,,"Available. Released 2023, May 22",No,Yes,"TFT LCD, 65K colors",,,Unspecified,,,,No,About 80 EUR,,microSDHC,,,,Li-Ion 1000 mAh,"2023, May 18",Nokia,Yes,,,No,Yes,,,,,Yes,Yes,,No,,"1.8 inches, 10.0 cm2(~17.6% screen-to-body ratio)",,,,,,GSM 900 / 1800,
HSDPA 850 / 900 / 2100,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP",Wireless FM radio,,,,"Charcoal, Ocean Blue",,,Yes,,,,,,Yes,,,Nokia 105 4G (2023),121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),SMS,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 2.0,GSM / HSPA / LTE,93 g (3.28 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2023.jpg,,,No,,"Available. Released 2023, June",No,Yes,IPS LCD,,,Unspecified,"HSPA, LTE",,,FlashlightSplash resistant,About 40 EUR,,microSDHC,,,,"Li-Ion 1450 mAh, removable","2023, May 18",Nokia,Yes,,,No,,MP3 player,,,,,Yes,,No,,"1.8 inches, 10.0 cm2(~16.5% screen-to-body ratio)",,,,,,GSM 900 / 1800,
FlashlightSplash resistant,,,,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",,No,,,,,No,Wireless FM radio,,,,"Red Terracotta, Cyan, Charcoal",,,Yes,,,,,,Yes,,,Nokia 105 (2023),115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),SMS,,,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 1.1,GSM,78.7 g (2.75 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2023.jpg,,,,,"Available. Released 2023, May 18",No,Yes,"TFT LCD, 65K colors",,,Unspecified,,,,No,About 50 EUR,,No,,,,Li-Ion 1000 mAh,"2023, May 18",Nokia,Yes,,,No,Yes,,,,,Yes,Yes,,No,,"1.8 inches, 10.0 cm2(~17.6% screen-to-body ratio)",,,,,,GSM 900 / 1800,
IP68/IP69K dust/water resistant (up to 1.5m for 60 min)Drop resistant up to 1.8mMIL-STD-810H compliant,,,,,,Nano-SIM + Nano-SIM +eSIM(max 2 at a time),,Yes (market/region dependent),"64 MP, f/1.8, (wide), 1/2.0"", PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm",,,"Glass front (Gorilla Glass Victus), plastic back, plastic frame","5.1, A2DP, LE, aptX Adaptive",Unspecified,Corning Gorilla Glass Victus,,,"Midnight Black, Pine Green",,"Dual-LED dual-tone flash, second LED flash, HDR, panorama",,$ 566.77,,Adreno 619,,,"Yes, with stereo speakers",,,Nokia XR21,168 x 78.6 x 10.5 mm (6.61 x 3.09 x 0.41 in),,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 48, 66, 71",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1080 x 2400 pixels, 20:9 ratio (~406 ppi density)",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),,"USB Type-C 2.0, OTG",GSM / HSPA / LTE / 5G,231 g (8.15 oz),Android 12,"1, 2, 3, 5, 7, 20, 25, 28, 40, 41, 66, 71, 77, 78, 79 SA/NSA",,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-xr21.jpg,,,,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Available. Released 2023, June 11",,,"IPS LCD, 120Hz, 450 nits (typ), 550 nits (HBM)",,,128GB 6GB RAM,"HSPA, LTE, 5G",,,,$ 566.77 / € 469.97 / £ 337.97,,Unspecified,1080p@30fps,,,Li-Po 4800 mAh,"2023, May 03",Nokia,,,"33W wired, PD2.0, QC3","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,,,,Yes,,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","16 MP, f/2.4 (wide)","6.49 inches, 101.7 cm2(~77.0% screen-to-body ratio)",,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",GSM 850 / 900 / 1800 / 1900,1080p@30fps
eMMC 5.1,,,,,,Nano-SIM + Nano-SIM,,No,,,,"Glass front, plastic back, plastic frame","5.2, A2DP",FM radio,,,,"Dark Cyan, Charcoal, Light Mint",,"LED flash, HDR",,,,IMG8322,,,Yes,,,Nokia C12 Plus,-,,LTE,HSDPA 850 / 900 / 1900 / 2100,"720 x 1520 pixels, 19:9 ratio (~267 ppi density)",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,microUSB 2.0,GSM / HSPA / LTE,-,Android 12 (Go edition),,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg,,,,Unisoc SC9863A1 (28 nm),Cancelled,,,IPS LCD,,,32GB 2GB RAM,"HSPA, LTE",,,,About 90 EUR,,microSDXC,Yes,,,"Li-Ion 4000 mAh, removable","2023, April 01",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,5 MP,GPS,"8 MP, AF","6.3 inches, 99.1 cm2(~83.0% screen-to-body ratio)",,,,,"Accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,720p
Splash resistant,,,,,,Nano-SIM + Nano-SIM,,No,,,,"Glass front, plastic back, plastic frame","5.2, A2DP",Wireless FM radio,Scratch-resistant glass,,,"Dark Cyan, Charcoal, Light Mint",,"LED flash, HDR",,,,IMG8322,,,Yes,,,Nokia C12 Pro,160.6 x 74.3 x 8.8 mm (6.32 x 2.93 x 0.35 in),,LTE,HSDPA 850 / 900 / 1900 / 2100,"720 x 1600 pixels, 20:9 ratio (~278 ppi density)",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,microUSB 2.0,GSM / HSPA / LTE,177.4 g (6.24 oz),Android 12 (Go edition),,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg,,,,Unisoc SC9863A1 (28 nm),"Available. Released 2023, March 21",,,IPS LCD,,,"64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","HSPA, LTE",,,eMMC 5.1,About 80 EUR,,Unspecified,Yes,,,"Li-Ion 4000 mAh, removable","2023, March 21",Nokia,,,10W wired,Wi-Fi 802.11 b/g/n,,,,,,,Yes,5 MP,GPS,"8 MP, AF","6.3 inches, 95.8 cm2(~80.3% screen-to-body ratio)",,,,,"Accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,720p
Splash and dust resistant,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,"50 MP, (wide), AF2 MP, (macro)",,,"Glass front, glass back, plastic frame","5.2, A2DP",Wireless FM radio,Scratch-resistant glass,$ 180.00,,"Charcoal, Autumn Green, Beach Pink",,"LED flash, HDR",,,,IMG8322,$ 129.00,,Yes,$ 325.00,,Nokia C32,164.6 x 75.9 x 8.6 mm (6.48 x 2.99 x 0.34 in),,LTE,HSDPA 850 / 900 / 2100,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,USB Type-C 2.0,GSM / HSPA / LTE,199.4 g (7.02 oz),Android 13,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c32-2023.jpg,,,,Unisoc SC9863A1 (22 nm),"Available. Released 2023, February 25",,,IPS LCD,,,"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","HSPA, LTE",,,eMMC 5.1,"$ 129.00 / € 109.70 / £ 64.99 / ₹ 9,999",,microSDXC (dedicated slot),1080p@30fps,,,Li-Po 5000 mAh,"2023, February 25",Nokia,,,10W wired,Wi-Fi 802.11 b/g/n,,,,,,,Yes,,GPS,8 MP,"6.5 inches, 102.0 cm2(~81.6% screen-to-body ratio)",,,,,"Fingerprint (side-mounted), accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,Yes
Splash and dust resistant,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,"13 MP, (wide), AF2 MP, (macro)",,,"Glass front, plastic back, plastic frame","5.2, A2DP",FM radio,Scratch-resistant glass,,,"Sand, Midnight Black",,"LED flash, HDR",,,,IMG8322,,,Yes,,,Nokia C22,164.6 x 75.9 x 8.6 mm (6.48 x 2.99 x 0.34 in),,LTE,HSDPA 850 / 900 / 2100,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,USB Type-C 2.0,GSM / HSPA / LTE,190 g (6.70 oz),Android 13 (Go edition),,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c22-2023.jpg,,,,Unisoc SC9863A (28 nm),"Available. Released 2023, February 25",,,IPS LCD,,,"64GB 2GB RAM, 64GB 3GB RAM, 128GB 4GB RAM","HSPA, LTE",,,eMMC 5.1,About 90 EUR,,microSDXC (dedicated slot),1080p@30fps,,,Li-Po 5000 mAh,"2023, February 25",Nokia,,,10W wired,Wi-Fi 802.11 b/g/n,,,,,,,Yes,,GPS,8 MP,"6.5 inches, 102.0 cm2(~81.6% screen-to-body ratio)",,,,,"Fingerprint (rear-mounted), accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,Yes
Dust and splash resistantQuickFix user-reparable design,,,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, (macro)2 MP, (depth)",,,Nano-SIM + Nano-SIM,,Yes (market/region dependent),,,,"Glass front (Gorilla Glass 3), plastic frame, plastic back","5.0, A2DP, LE","FM radio, RDS",Corning Gorilla Glass 3,$ 129.24,,"Lagoon Blue, Meteor Gray, So Peach",,"LED flash, HDR, panorama",,,,Mali-G57 MP1,$ 199.99,,Yes,,,Nokia G22,165 x 76.2 x 8.5 mm (6.50 x 3.00 x 0.33 in),,"1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",HSDPA 850 / 900 / 2100,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,"USB Type-C 2.0, OTG",GSM / HSPA / LTE,196.2 g (6.91 oz),Android 12,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-g22-2023.jpg,,,,Unisoc T606 (12 nm),"Available. Released 2023, February 25",,,"IPS LCD, 90Hz, 500 nits (typ)",,,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 6GB RAM","HSPA, LTE",,,UFS 2.2,$ 129.24 / € 99.99 / £ 81.49,,microSDXC (uses shared SIM slot),1080p@30fps,,,Li-Po 5050 mAh,"2023, February 25",Nokia,,,"20W wired, PD3.0","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,,Yes,,"GPS, GLONASS, GALILEO","8 MP, f/2.0, (wide)","6.5 inches, 102.0 cm2(~81.1% screen-to-body ratio)",,,,,"Fingerprint (side-mounted), accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,1080p@30fps
Splash and dust resistant,,,,,,Nano-SIM + Nano-SIM,,No,,,,"Plastic back, plastic frame","4.2, A2DP, LE",Unspecified,,,,"Dark Cyan, Charcoal",,"LED flash, HDR",,,,,,,Yes,,,Nokia C02,148.7 x 71.2 x 10 mm (5.85 x 2.80 x 0.39 in),,LTE,HSDPA 850 / 900 / 2100,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Quad-core 1.4 GHz,,microUSB 2.0,GSM / HSPA / LTE,191 g (6.74 oz),Android 12 (Go edition),,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c02.jpg,,,,,"Available. Released 2023, May",,,IPS LCD,,,32GB 2GB RAM,"HSPA, LTE",,,eMMC 5.1,,,microSDXC,720p@30fps,,,"Li-Ion 3000 mAh, removable","2023, February 23",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,2 MP,GPS,5 MP,"5.45 inches, 76.7 cm2(~72.4% screen-to-body ratio)",,,,,Accelerometer,GSM 850 / 900 / 1800 / 1900,720p@30fps
Splash resistant,,,,,,Nano-SIM + Nano-SIM,,No,,,,"Glass front, plastic back, plastic frame","5.2, A2DP",FM radio,Scratch-resistant glass,,,"Dark Cyan, Charcoal, Light Mint",,"LED flash, HDR",,,,IMG8322,,,Yes,,,Nokia C12,160.6 x 74.3 x 8.8 mm (6.32 x 2.93 x 0.35 in),,LTE,HSDPA 850 / 900 / 1900 / 2100,"720 x 1600 pixels, 20:9 ratio (~278 ppi density)",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,microUSB 2.0,GSM / HSPA / LTE,177.4 g (6.24 oz),Android 12 (Go edition),,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg,,,,Unisoc SC9863A1 (28 nm),"Available. Released 2023, February 02",,,IPS LCD,,,"64GB 2GB RAM, 64GB 3GB RAM","HSPA, LTE",,,eMMC 5.1,About 100 EUR,,Unspecified,Yes,,,"Li-Ion 3000 mAh, removable","2023, January 18",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,5 MP,GPS,"8 MP, AF","6.3 inches, 95.8 cm2(~80.3% screen-to-body ratio)",,,,,"Accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,720p
"Secondary external 1.77"" display",,,,,,Nano-SIM,,No,,,,,"4.2, A2DP",FM radio,,,,"Red, Blue",,LED flash,,,,Adreno 308,,,Yes,,,Nokia 2780 Flip,202.1 x 58 x 11.5 mm (7.96 x 2.28 x 0.45 in),,"2, 4, 5, 7, 12, 13, 17, 25, 26, 41, 66, 71",HSDPA 850 / 1700(AWS) / 1900,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",Quad-core 1.3 GHz Cortex-A53,,USB Type-C 2.0,GSM / HSPA / LTE,131.2 g (4.62 oz),KaiOS 3.1,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-2780-flip.jpg,,,,Qualcomm QM215 Snapdragon 215 (28 nm),"Available. Released 2022, November 15",,,TFT LCD,,,4GB 512MB RAM,"HSPA, LTE Cat4 150/50 Mbps",,,No,$ 86.99,,microSDHC (dedicated slot),Unspecified,,,"Li-Ion 1450 mAh, removable","2022, November 03",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,$ 86.99,,,Yes,,GPS,5 MP,"2.7 inches, 22.6 cm2(~19.3% screen-to-body ratio)",,,,,,GSM 850 / 900 / 1800 / 1900,
IP67 dust/water resistant (up to 1m for 30 min),,,,$ 399.00,,Nano-SIM +eSIMNano-SIM + Nano-SIM,,Yes,"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS13 MP, f/2.4, 123˚ (ultrawide), 1/3.06""",,Photo/Video,"Glass front (Gorilla Glass Victus), aluminum frame, plastic back","5.1, A2DP, LE, aptX HD","FM radio, RDS",Corning Gorilla Glass Victus,,,"Cloudy Blue, Ice White",,"LED flash, HDR, panorama",,$ 469.00,,Adreno 619,,,Yes,,,Nokia X30,158.9 x 73.9 x 8 mm (6.26 x 2.91 x 0.31 in),,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 38, 39, 40, 41",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Endurance rating 94h,"USB Type-C 2.0, OTG",GSM / HSPA / LTE / 5G,185 g (6.53 oz),"Android 12, upgradable to Android 13","1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6",,746 nits max brightness (measured),,https://fdn2.gsmarena.com/vv/bigpic/nokia-x30-5g.jpg,AnTuTu: 403732 (v9)GeekBench: 1920 (v5.1)GFXBench: 17fps (ES 3.1 onscreen),"TA-1450, TA-1443",,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Available. Released 2022, September 21",,,"AMOLED, 90Hz, 450 nits (typ), 700 nits (peak)",,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","HSPA, LTE (CA), 5G",,0.79 W/kg (head)     1.37 W/kg (body),UFS 2.2 - 128GBUFS 3.0 - 256GB,$ 377.50 / € 349.54 / £ 297.99,,No,1080p@30/60fps,,,Li-Po 4200 mAh,"2022, September 01",Nokia,,,"33W wired, PD3.0","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,,,,No,,"GPS, GLONASS, GALILEO, BDS","16 MP, f/2.4, (wide), 1/3.06"", 1.0µm","6.43 inches, 99.8 cm2(~85.0% screen-to-body ratio)",,,,-27.5 LUFS (Good),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,1080p@30fps
,,,"13 MP, f/1.8, (wide), AF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0""2 MP, f/2.4, (depth)",,,Nano-SIM,,No,,,,"Glass front, plastic frame, plastic back","5.0, A2DP, LE",FM radio,,,,Nordic Blue,,"LED flash, HDR, panorama",,,,Adreno 610,,,Yes,,,Nokia G100,166.6 x 76.7 x 8.9 mm (6.56 x 3.02 x 0.35 in),,"2, 4, 5, 7, 12, 13, 17, 44, 66, 71",HSDPA 850 / 1700(AWS) / 1900,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,"USB Type-C 2.0, OTG",GSM / HSPA / LTE,195.1 g (6.88 oz),Android 12,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-g100.jpg,,,,Qualcomm SM6115 Snapdragon 662 (11 nm),"Available. Released 2022, October",,,IPS LCD,,,"32GB 3GB RAM, 128GB 4GB RAM","HSPA, LTE",,,,About 60 EUR,,microSDXC,1080p@30fps,,,Li-Po 5000 mAh,"2022, September 22",Nokia,,,15W wired,"Wi-Fi 802.11 b/g/n/ac, dual-band",,,,,,,Yes,,GPS,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","6.52 inches, 102.6 cm2(~80.3% screen-to-body ratio)",,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer",GSM 850 / 900 / 1800 / 1900,1080p@30fps
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,,,"50 MP, f/1.8, (wide), 1/2.5"", 0.7µm, PDAF5 MP, f/2.2, (ultrawide), 1/5.0""2 MP, f/2.4, (depth)",,,Nano-SIM +eSIMNano-SIM + Nano-SIM,,Yes (market/region dependent),,,,"Glass front (Gorilla Glass 5), plastic frame, plastic back","5.1, A2DP, LE, aptX HD, aptX Adaptive",FM radio,Corning Gorilla Glass 5,,,"Pure Black, Ice Gray",,"LED flash, HDR, panorama",,,,Adreno 619,,,Yes,,,Nokia G60,166 x 75.9 x 8.6 mm (6.54 x 2.99 x 0.34 in),,"1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41 - International",HSDPA 850 / 900 / 1900 / 2100 - International,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),,"USB Type-C 2.0, OTG",GSM / HSPA / LTE / 5G,190 g (6.70 oz),Android 12,"1, 3, 5, 7, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - International",,"1523:1 contrast ratio, 444 nits max brightness (measured)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-g60-5g.jpg,,"TA-1490, TA-1481, TA-1479, TA-1475","1, 3, 5, 7, 28, 38, 40, 41, 66, 78 SA/NSA/Sub6 - LATAM",Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Available. Released 2022, September 01",,,"IPS LCD, 120Hz, 400 nits (typ)",,,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","HSPA, LTE, 5G",,1.10 W/kg (head)     1.27 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 13, 20, 28, 38, 39, 40, 41, 66 - LATAM",About 240 EUR,,microSDXC (uses shared SIM slot),1080p@30fps,,1.30 W/kg (head)     0.83 W/kg (body),Li-Po 4500 mAh,"2022, September 01",Nokia,,,"20W wired, PD3.0","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,Splash resistant,,,,,Yes,,"GPS, GALILEO, BDS","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","6.58 inches, 104.3 cm2(~82.8% screen-to-body ratio)",,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,1080p@30fps
"1, 3, 5, 8, 34, 38, 39, 40, 41 - Europe",,,"13 MP, (wide), AF2 MP, (macro)2 MP, (depth)",,,Nano-SIM + Nano-SIM,,No,,,,"Glass front, plastic frame, plastic back","4.2, A2DP",Wireless FM radio,,,,"Charcoal, Mint, Cyan",,"LED flash, HDR",,,,IMG8322,,,Yes,,,Nokia C31,169.2 x 78 x 8.6 mm (6.66 x 3.07 x 0.34 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International",HSDPA 850 / 900 / 2100 - International,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,"microUSB 2.0, OTG",GSM / HSPA / LTE,200 g (7.05 oz),Android 12,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c31.jpg,,"TA-1499, TA-1497, TA-1493","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - South Africa, Egypt",Unisoc SC9863A (28 nm),"Available. Released 2022, September 01",,,IPS LCD,,,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",eMMC 5.1,0.35 W/kg (head)     1.39 W/kg (body),"1, 3, 5, 8, 40, 41 - Asia",About 130 EUR,,microSDXC (dedicated slot),1080p@30fps,,,Li-Po 5050 mAh,"2022, September 01",Nokia,,,10W wired,Wi-Fi 802.11 b/g/n,,Splash resistant,,,,,Yes,,GPS,5 MP,"6.75 inches, 110.0 cm2(~83.4% screen-to-body ratio)",,,,,"Fingerprint (rear-mounted), accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,Yes
