,Positioning,Resolution,Type_1,Loudspeaker_1,Java,Triple,4G bands,Status,_3,Display,Video_1,128GB 4GB RAM,3.5mm jack,Battery (old),_2,Features_1,Quad,_1,Models,Performance,_4,Unspecified,256GB 8GB RAM,Protection,_6,Bluetooth,Music play,GPU,Chipset,OS,2G bands,Card slot,256GB,SAR EU,Single,Speed,GPRS,Weight,128GB 6GB RAM,CPU,Sensors,Size,Model Name,USB,512GB 12GB RAM,Browser,Price,Talk time,128GB 8GB RAM,EDGE,Battery (new),_5,64GB 4GB RAM,Internal,Stand-by,Video,Dual,Dimensions,Announced,Single_1,Dual_1,Audio quality,SIM,Radio,Camera,1TB 16GB RAM,Features,WLAN,Infrared port,Phonebook,Messaging,Keyboard,256GB 12GB RAM,Model Image,Call records,3G bands,Technology,Games,Brand,512GB 16GB RAM,SAR,Colors,Type,Charging,5G bands,Loudspeaker,Build,NFC
Stylus support (magnetic),"GPS, GLONASS, BDS, GALILEO, QZSS","2800 x 1840 pixels, 3:2 ratio (~279 ppi density)",Li-Po 10100 mAh,,,,N/A,"Available. Released 2024, August 13",,,1080p@30fps,,No,,,,,,,,,,,,,"5.2, A2DP, LE",,,,HarmonyOS 4.2,N/A,No,,,"8 MP, f/2.2",,No,555 g (1.22 lb),,,"Accelerometer, gyro, compass, proximity (accessories only)","12.0 inches, 426.4 cm2(~86.3% screen-to-body ratio)",Huawei MatePad Air (2024),"USB Type-C 3.1, OTG, magnetic accessory connector",,,About 370 EUR,,,No,,,,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"4K@30fps, 1080p@30fps","13 MP, f/1.8, (wide), PDAF8 MP, f/2.2, (ultrawide)",270 x 183 x 5.9 mm (10.63 x 7.20 x 0.23 in),"2024, August 06",,,,No,No,,,LED flash,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-air-2024-.jpg,,N/A,No cellular connectivity,,Huawei,,,"Pink, Green, White, Gray","IPS LCD, 144Hz, 1000 nits (peak)",66W wired,,"Yes, with stereo speakers (6 speakers)",,No
Stylus support,"GPS, GLONASS, BDS, GALILEO, QZSS","2800 x 1840 pixels, 3:2 ratio (~275 ppi density)",Li-Po 10100 mAh,-22.2 LUFS (Excellent),,,N/A,"Available. Released 2024, August 13",,1047 nits max brightness (measured),1080p@30fps,,No,,,,,BDS Satellite Messaging - China only,,AnTuTu: 726657 (v10)GeekBench: 4550 (v6)3DMark: 1213 (Wild Life Extreme),,,,,,"5.2, A2DP, LE",,Maleoon 910 MP4,Kirin 9000S (7 nm),HarmonyOS 4.2,N/A,No,,,"16 MP, f/2.2",,No,508 g (1.12 lb),,Octa-core (1x2.62 GHz Taishan Big & 3x2.15 GHz Taishan Mid & 4x1.53GHz Cortex-A510),"Fingerprint (side-mounted), accelerometer, gyro, proximity (accessories only), compass","12.2 inches, 440.7 cm2(~89.0% screen-to-body ratio)",Huawei MatePad Pro 12.2 (2024),"USB Type-C 3.1, OTG",,,About 570 EUR,,,No,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",,"4K@30fps, 1080p@30fps","13 MP, f/1.8, (wide), PDAF8 MP, f/2.2, (ultrawide)",271.3 x 182.5 x 5.5 mm (10.68 x 7.19 x 0.22 in),"2024, August 06",,,,No,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro-122-2024.jpg,,N/A,No cellular connectivity,,Huawei,,,"Gold, White, Black","Dual-layer OLED, 1B colors, 144Hz, 2000 nits (peak)","100W wired, 85% in 40 min, 100% in 55 min",,"Yes, with stereo speakers (4 speakers)",,No
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",1136 x 2690 pixels (~421 ppi density),Li-Po 4400 mAh,,,,LTE,"Available. Released 2024, August 10","Cover display:LTPO OLED, 2.14 inch, 480 x 480 pixels, 120Hz, 318ppi",,"4K, 1080p",,No,,Splash/dust resistant,"HDR, panorama",,CDMA2000 1x,PSD-AL00,,Virtual proximity sensing,,,,,"5.2, A2DP, LE, L2HC",,,,HarmonyOS 4.2,GSM 850 / 900 / 1800 / 1900,No,,,"32 MP, f/2.2, 21mm (ultrawide)","HSPA, LTE",,195 g or 199 g (6.88 oz),,Octa-core,"Fingerprint (side-mounted), accelerometer, gyro, compass","6.94 inches, 111.4 cm2(~87.0% screen-to-body ratio)",Huawei nova Flip,"USB Type-C 2.0, OTG",,,About 680 EUR,,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",,"4K, 1080p, gyro-EIS","50 MP, f/1.9, 23mm (wide), 1/1.56"", PDAF, OIS8 MP, f/2.2, 112˚ (ultrawide)",Unfolded: 169.8 x 75.4 x 6.9 mmFolded: 87.6 x 75.4 x 15.1 mm,"2024, August 05",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-flip.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Green, Pink, White, Black","Foldable LTPO OLED, 120Hz","66W wired, 100% in 40 min5W reverse wired",5G,"Yes, with stereo speakers",,Yes
Stylus support,No,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",7700 mAh,,,,N/A,"Available. Released 2024, June",,,720p@30fps,,Unspecified,,,,,,,,,,,,,"5.1, A2DP, LE",,,,HarmonyOS 2.0,N/A,microSDXC (dedicated slot),,,"8 MP, f/2.0, AF",,No,475 g (1.05 lb),,,Accelerometer,"11.0 inches, 350.9 cm2(~84.9% screen-to-body ratio)",Huawei MatePad SE 11,"USB Type-C 2.0, OTG",,,,,,No,,,,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",,1080p@30fps,,252.3 x 163.8 x 6.9 mm (9.93 x 6.45 x 0.27 in),"2024, June 09","5 MP, f/2.2",,,No,No,,,Panorama,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-se-11.jpg,,N/A,No cellular connectivity,,Huawei,,,"Nebula Gray, Crystal Blue","IPS LCD, 400 nits",22.5W wired5W reverse wired,,"Yes, with stereo speakers (4 speakers)","Glass front, aluminum frame, aluminum back",No
Stylus support,No,"1840 x 2800 pixels, 3:2 ratio (~291 ppi density)",8800 mAh,,,,N/A,"Available. Released 2024, May",,,1080p@30fps,,No,,,,,Anti-glare,TGR-W09,,,,,,,"5.2, A2DP, LE",,,,Harmony OS 4.2,N/A,No,,,"13 MP, f/1.8, (wide), AF",,No,510 g (1.12 lb),,Octa-core,"Accelerometer, proximity (accessories only), gyro","11.5 inches, 391.6 cm2(~84.7% screen-to-body ratio)",Huawei MatePad 11.5 S,"USB Type-C 3.0, OTG, magnetic accessory connector",,,,,,No,,,,"128GB 8GB RAM, 256GB 8GB RAM",,1080p@30fps,,261 x 177.2 x 6.2 mm (10.28 x 6.98 x 0.24 in),"2024, May 08","8 MP, f/2.0",,,No,No,,,"LED flash, panorama","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-115-s.jpg,,N/A,No cellular connectivity,,Huawei,,,"Space Gray, Silver Frost, Violet","TFT LCD, 144Hz",22.5W wired5W reverse wired,,"Yes, with stereo speakers (4 speakers)",,No
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",1260 x 2844 pixels (~460 ppi density),Li-Po 5200 mAh,-28.3 LUFS (Average),,"50 MP, f/1.6-4.0, 23mm (wide), 1.0""-type, PDAF, sensor-shift OIS, retractable lens50 MP, f/2.1, 90mm (telephoto), PDAF (5cm - ∞), OIS, 3.5x optical zoom40 MP, f/2.2, 13mm (ultrawide), AF","1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42","Available. Released 2024, April 29",BDS Satellite Calling and Messaging - China only,1231 nits max brightness (measured),"Yes, HDR",,No,,IP68 dust/water resistant (up to 2m for 30 min),"HDR, panorama",,CDMA2000 1x,"HBP-LX9, HBP-AL00",AnTuTu: 987197 (v10)GeekBench: 4482 (v6)3DMark: 1578 (Wild Life Extreme),,,,Kunlun Glass (Basalt-tempered),,"5.2, A2DP, LE, L2HC",,,Kirin 9010 (7 nm),"EMUI 14.2 (International), HarmonyOS 4.2 (China)",GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, f/2.4, (ultrawide), AF","HSPA, LTE, 5G",,226 g (7.97 oz),,Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),"Fingerprint (under display, optical), accelerometer, proximity, gyro, compass","6.8 inches, 109.0 cm2(~89.3% screen-to-body ratio)",Huawei Pura 70 Ultra,"USB Type-C 3.1, OTG, DisplayPort 1.2",,,"$ 1,129.59 / £ 1,145.99 / € 1,146.12",,,,Active use score 12:29h,,,"512GB 16GB RAM, 1TB 16GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS",,162.6 x 75.1 x 8.4 mm (6.40 x 2.96 x 0.33 in),"2024, April 18",,,,Nano-SIM + Nano-SIM,No,,"$ 1,129.59","Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura70-ultra.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,"$ 1,440.00",,"Black, White, Brown, Green","LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",100W wired80W wireless20W reverse wireless18W reverse wired,SA/NSA - China only,"Yes, with stereo speakers","Glass front, aluminum frame, silicone polymer back (eco leather)","Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",1260 x 2844 pixels (~460 ppi density),Li-Po 5050 mAh,,,"50 MP, f/1.4-4.0, 25mm (wide), 1/1.3"", PDAF, OIS48 MP, f/2.1, 93mm (telephoto), PDAF (5cm - ∞), OIS, 3.5x optical zoom12.5 MP, f/2.2, 13mm (ultrawide)",LTE,"Available. Released 2024, April 29",BDS Satellite Calling and Messaging - China only,,"Yes, HDR",,No,,IP68 dust/water resistant (up to 2m for 30 min),"HDR, panorama",,CDMA2000 1x,"HBN-AL10, HBN-AL80",,,,,Kunlun Glass (Xuanwu tempered),,"5.2, A2DP, LE, L2HC",,,Kirin 9010 (7 nm),HarmonyOS 4.2,GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, f/2.4, (ultrawide), AF","HSPA, LTE, 5G",,220 g (7.76 oz),,Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),"Fingerprint (under display, optical), accelerometer, proximity, gyro, compass","6.8 inches, 109.0 cm2(~89.3% screen-to-body ratio)",Huawei Pura 70 Pro+,"USB Type-C 3.1, OTG, DisplayPort 1.2",,,About 1050 EUR,,,,,,,"512GB 16GB RAM, 1TB 16GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS",,162.6 x 75.1 x 8.4 mm (6.40 x 2.96 x 0.33 in),"2024, April 18",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura70-pro-plus.jpg,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, White, Silver","LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",100W wired80W wireless20W reverse wireless18W reverse wired,SA/NSA,"Yes, with stereo speakers","Glass front, aluminum frame, silicone polymer back (eco leather)","Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",1260 x 2844 pixels (~460 ppi density),Li-Po 5050 mAh,,,"50 MP, f/1.4-4.0, 25mm (wide), 1/1.3"", PDAF, OIS48 MP, f/2.1, 93mm (telephoto), PDAF (5cm - ∞), OIS, 3.5x optical zoom12.5 MP, f/2.2, 13mm (ultrawide)","1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42, 66","Available. Released 2024, April 29",BDS Satellite Messaging - China only,,"Yes, HDR",,No,,IP68 dust/water resistant (up to 2m for 30 min),"HDR, panorama",,CDMA2000 1x,"HBN-LX9, HBN-AL00",,,,,Kunlun Glass 2,,"5.2, A2DP, LE, L2HC",,,Kirin 9010 (7 nm),"EMUI 14.2 (International), HarmonyOS 4.2 (China)",GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, f/2.4, (ultrawide), AF","HSPA, LTE, 5G",,220 g (7.76 oz),,Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),"Fingerprint (under display, optical), accelerometer, proximity, gyro, compass","6.8 inches, 109.0 cm2(~89.3% screen-to-body ratio)",Huawei Pura 70 Pro,"USB Type-C 3.1, OTG, DisplayPort 1.2",$ 701.12,,"$ 701.12 / £ 1,393.98 / € 842.02",,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 12GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS",,162.6 x 75.1 x 8.4 mm (6.40 x 2.96 x 0.33 in),"2024, April 18",,,,Nano-SIM +eSIMNano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura70-pro.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, White, Purple","LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",100W wired80W wireless20W reverse wireless18W reverse wired,SA/NSA - China only,"Yes, with stereo speakers","Glass front, aluminum frame, glass back","Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",1256 x 2760 pixels (~460 ppi density),Li-Po 4900 mAh,,,"50 MP, f/1.4-4.0, 25mm (wide), 1/1.3"", PDAF, OIS12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom13 MP, f/2.2, 13mm (ultrawide)","1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42","Available. Released 2024, May 06",,,"Yes, HDR",,No,,IP68 dust/water resistant (up to 1.5m for 30 min),"HDR, panorama",,CDMA2000 1x,"ADY-LX9, ADY-AL00",,,,,Kunlun Glass 2,,"5.2, A2DP, LE, L2HC",,,Kirin 9000S1,"EMUI 14.2 (International), HarmonyOS 4.2 (China)",GSM 850 / 900 / 1800 / 1900,No,,,"13 MP, f/2.4, (ultrawide)","HSPA, LTE, 5G",,207 g (7.30 oz),,Octa-core,"Fingerprint (under display, optical), accelerometer, proximity, gyro, compass","6.6 inches, 105.5 cm2(~90.1% screen-to-body ratio)",Huawei Pura 70,"USB Type-C 3.1, OTG, DisplayPort 1.2",$ 735.99,,$ 735.99 / € 899.00,,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",,"4K, 1080p, HDR, gyro-EIS, OIS",,157.6 x 74.3 x 8 mm (6.20 x 2.93 x 0.31 in),"2024, April 18",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,,€ 899.00,https://fdn2.gsmarena.com/vv/bigpic/huawei-pura70.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,Huawei,,,"Black, White, Blue, Pink","LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",66W wired50W wireless7.5W reverse wireless5W reverse wired,SA/NSA - China only,"Yes, with stereo speakers","Glass front, aluminum frame","Yes; NFC-SIM, HCE"
,"GPS, GLONASS, GALILEO, BDS, QZSS",1080 x 2388 pixels (~391 ppi density),Li-Po 5000 mAh,,,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","Available. Released 2024, April 16",,,1080p@30fps,,No,,,,,,"CTR-AL20, CTR-L81",,,,,,,"5.0, A2DP, LE",,Adreno 610,Qualcomm Snapdragon 680 4G (6 nm),"EMUI 14, no Google Play Services",GSM 850 / 900 / 1800 / 1900,No,,,"8 MP, f/2.0, (wide)","HSPA, LTE",,199 g (7.02 oz),,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),"Fingerprint (side-mounted), accelerometer, compass","6.7 inches, 108.7 cm2(~89.1% screen-to-body ratio)",Huawei nova 12i,USB Type-C 2.0,,,€ 187.93,,€ 187.93,,,,,"128GB 8GB RAM, 256GB 8GB RAM",,1080p@30fps,"108 MP, f/1.9, 26mm (wide), PDAF2 MP, f/2.4, (depth)",163.3 x 74.7 x 8.4 mm (6.43 x 2.94 x 0.33 in),"2024, March 19",,,,Nano-SIMNano-SIM + Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-12i.jpg,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Green, Black, White","IPS LCD, 90Hz","40W wired, 3-62% in 30 min",,Yes,,Yes
,"GPS, GLONASS, GALILEO, BDS, QZSS","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Li-Po 4500 mAh,,,"108 MP, f/1.9, (wide), 1/1.67"", 0.64µm, PDAF8 MP, f/2.2, 112˚ (ultrawide)2 MP, f/2.4, (macro)","1, 3, 5, 7, 8, 20, 28, 34, 38, 40, 41","Available. Released 2024, April 06",,,1080p@30fps,,No,,,,,,BNE-LX1,,,,€ 329.00,,,"5.0, A2DP, LE",,Adreno 610,Qualcomm Snapdragon 680 4G (6 nm),"EMUI 14, no Google Play Services",GSM 850 / 900 / 1800 / 1900,No,,,"32 MP, f/2.5, (wide)","HSPA, LTE",,186 g (6.56 oz),,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6.67 inches, 107.4 cm2(~87.6% screen-to-body ratio)",Huawei nova 12 SE,USB Type-C 2.0,,,€ 329.00,,,,,,,256GB 8GB RAM,,"1080p@30fps, gyro-EIS",,162.4 x 75.5 x 7.4 mm (6.39 x 2.97 x 0.29 in),"2024, March 19",,,,Nano-SIMNano-SIM + Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-11-se.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Green, Black","OLED, 1B colors, 90Hz","66W wired, 3-100% in 32 min5W reverse wired",,Yes,,Yes
Virtual proximity sensing,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC","1084 x 2412 pixels, 20:9 ratio (~395 ppi density)",4500 mAh,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66","Available. Released 2024, April 13",,,"4K@30fps, 1080p@30fps, gyro-EIS",,No,,,HDR,,,FOA-LX9,,,,€ 379.00,,,"5.2, A2DP, LE",,Adreno 642L,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),"EMUI 14, no Google Play Services",GSM 850 / 900 / 1800 / 1900,No,,,,"HSPA, LTE",,168 g (5.93 oz),,Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),"Fingerprint (under display, optical), accelerometer, gyro, compass","6.7 inches, 108.3 cm2(~89.5% screen-to-body ratio)",Huawei nova 12s,"USB Type-C 2.0, OTG",,,€ 379.00,,,,,,,256GB 8GB RAM,,"4K@30fps, 1080p@30fps, gyro-EIS","50 MP, f/1.9, (wide), PDAF8 MP, f/2.2, 112˚ (ultrawide)",161.3 x 75 x 6.9 mm (6.35 x 2.95 x 0.27 in),"2024, March 19",,"60 MP, f/2.4, 100˚ (ultrawide)",,Nano-SIMNano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-12s.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Green, White, Gold","OLED, 1B colors, HDR, 120Hz","66W wired, 3-62% in 15 min, 3-100% in 30 minReverse wired",,"Yes, with stereo speakers",,"Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC",1136 x 2690 pixels (~420 ppi density),Li-Po 4520 mAh,,,"50 MP, f/1.6, 23mm (wide), PDAF, OIS8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom, OIS12 MP, f/2.2, 13mm (ultrawide), AF2 MP, (spectral)","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","Available. Released 2024, February 22","Cover display:LTPO OLED, 1.15 inch, 340 x 340 pixels, 296 ppi",,"4K, 1080p",,No,,IPX8 dust/water resistant (up to 2m for 30 min),"HDR, panorama",,CDMA2000 1x,LEM-AL00,,BDS Satellite Messaging - China only,,,,,"5.2, A2DP, LE, L2HC (320-960 kbps HD audio)",,,,HarmonyOS 4.0,GSM 850 / 900 / 1800 / 1900,"NM (Nano Memory), up to 512GB (uses shared SIM slot)",,,"10.7 MP, f/2.2, (ultrawide)","HSPA, LTE",,199 g or 202 g (7.02 oz),,Octa-core,"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer","6.94 inches, 111.9 cm2(~87.2% screen-to-body ratio)",Huawei Pocket 2,"USB Type-C 2.0, OTG",,,About 960 EUR,,,,,,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM",,"4K, 1080p, gyro-EIS",,Unfolded: 170 x 75.5 x 7.3 mmFolded: 87.8 x 75.5 x 15.3 mm,"2024, February 22",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-pocket2.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE,,Huawei,,,"Black, Purple, White, Gray","Foldable LTPO OLED, 1B colors, 120Hz, 2200 nits (peak)","66W wired, 52% in 20 min40W wireless5W reverse wireless5W reverse wired",,"Yes, with stereo speakers",,Yes
Splash and dust resistant,"GPS, GLONASS, GALILEO, BDS, QZSS","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",Li-Po 6000 mAh,,,,LTE,"Available. Released 2024, February 22",,,1080p@30fps,,Yes,,,,,,MGA-AL40,,,,,,,"5.1, A2DP, LE",,Mali-G51 MP4,Kirin 710A (14 nm),HarmonyOS 4.0,GSM 850 / 900 / 1800 / 1900,microSDXC,,,"8 MP, f/2.0","HSPA, LTE",,199 g (7.02 oz),,Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"Fingerprint (side-mounted), accelerometer, proximity, compass","6.75 inches, 110.0 cm2(~84.1% screen-to-body ratio)",Huawei Enjoy 70z,USB Type-C 2.0,,,About 140 EUR,,,,,,,"128GB 8GB RAM, 256GB 8GB RAM",,1080p@30fps,"13 MP, f/1.8, (wide), AF2 MP, f/2.4, (depth)",168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in),"2024, February 22",,,,Nano-SIM + Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-70z.jpg,,HSDPA 850 / 900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Blue, White",IPS LCD,22.5W wired,,Yes,,No
Always-on display,"GPS, GLONASS, GALILEO, BDS, QZSS","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",6000 mAh,,,,"1, 3, 5, 7, 8, 20, 28, 18, 19, 34, 38, 39, 40, 41","Available. Released 2024, February",,,1080p@30fps,,No,,,,,,MGA-LX3,,,,,,,"5.1, A2DP, LE",,Mali-G51 MP4,Kirin 710A (14 nm),EMUI 12,GSM 850 / 900 / 1800 / 1900,No,,,"8 MP, f/2.0, (wide)","HSPA, LTE",,207 g (7.30 oz),,Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"Fingerprint (side-mounted), accelerometer, proximity, compass","6.75 inches, 110.0 cm2(~84.1% screen-to-body ratio)",Huawei nova Y72,"USB Type-C 2.0, OTG",,,About 240 EUR,,,,,,,"128GB 8GB RAM, 256GB 8GB RAM",,1080p@30fps,"50 MP, f/1.8, (wide), AF2 MP, f/2.4, (macro)",168.3 x 77.7 x 8.9 mm (6.63 x 3.06 x 0.35 in),"2024, January 26",,,,Nano-SIM + Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-70.jpg,,HSDPA 800 / 850 / 900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Green",TFT LCD,22.5W wired,,Yes,,Yes (market/region dependent)
