,Stand-by,Card slot,Price,Model Name,USB,SAR EU,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Quad,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,GPU,Video_1,Call records,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Features_1,Models,Protection,Status,OS,Type,Internal,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Charging,Dual,Phonebook,Features,Talk time,_1,3G bands,Resolution,2G bands,WLAN
HDMI port,Up to 130 h,microSDHC (dedicated slot),About 150 EUR,Allview Viva Q8,"microUSB 2.0, OTG",,No,Accelerometer,No,,"7.9 inches, 193.3 cm2(~69.5% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,200 x 139 x 7.5 mm (7.87 x 5.47 x 0.30 in),357 g (12.59 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-q8.jpg,,No,,VGA,Quad-core 1.0 GHz Cortex-A7,PowerVR SGX544,,,"5 MP, AF","2013, July. Released 2013, July",No,No,,Yes,,,,Discontinued,"Android 4.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",IPS LCD,8GB 1GB RAM,"Li-Po 4000 mAh, non-removable",Yes,Yes,"White, Black",,,,,,Up to 4 h,,,"768 x 1024 pixels, 4:3 ratio (~162 ppi density)",N/A,Wi-Fi 802.11 b/g/n
No,Up to 140 h,microSDHC (dedicated slot),About 20 EUR,Allview Start M7,microUSB 2.0,,No,,Dual SIM (dual stand-by),,"2.4 inches, 17.8 cm2(~28.9% screen-to-body ratio)",,No,"SMS, MMS",No,,GSM,Allview,,119 x 51.9 x 11.9 mm (4.69 x 2.04 x 0.47 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-m7-start.jpg,No,Yes,No,,0,,,Yes,QVGA,"2014, January. Released 2014, January",No,FM radio,,Yes,,,,Discontinued,,"TFT, 256K colors",,"Li-Ion 1000 mAh, removable","2.0, A2DP, EDR",Yes,Black,,,,300 entries,,Up to 5 h 15 min,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM 900 / 1800,No
,Up to 260 h,microSDHC (dedicated slot),About 220 EUR,Allview P6 Quad Plus,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.65 inches, 59.6 cm2(~63.1% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,135 x 70 x 8.6 mm (5.31 x 2.76 x 0.34 in),131.9 g (4.62 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p6-quad-plus.jpg,GPS,,,1 MP,Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544,,,"8 MP, AF","2014, January. Released 2014, January",No,FM radio,,Yes,,,,Discontinued,Android 4.1.2 (Jelly Bean),TFT,4GB 1GB RAM,"Li-Po 2100 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 6 h 40 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~316 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
,Up to 212 h,No,About 130 EUR,Allview A5 Quad,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.3 inches, 52.6 cm2(~59.9% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,129.2 x 68 x 10.9 mm (5.09 x 2.68 x 0.43 in),153.7 (5.40 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-a5-quad.jpg,GPS,,,VGA,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,"5 MP, AF","2014, January. Released 2014, January",No,FM radio,,Yes,,,,Discontinued,Android 4.2.2 (Jelly Bean),TFT,4GB 512MB RAM,"Li-Ion 1700 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA,,,,"LED flash, HDR",Up to 6 h 30 min (2G) / Up to 5 h 30 min (3G),,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
Stylus,Up to 280 h,No,About 160 EUR,Allview P5 Symbol,microUSB 2.0,,,"Accelerometer, proximity",Dual SIM (dual stand-by),,"4.63 inches, 59.1 cm2(~62.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,136.6 x 69.8 x 10.9 mm (5.38 x 2.75 x 0.43 in),147.7 (5.19 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-symbol.jpg,GPS,,,VGA,Dual-core 1.2 GHz Cortex-A7,Mali-400,,,"5 MP, AF","2013, December. Released 2013, December",No,FM radio,,Yes,,,,Discontinued,Android 4.2.2 (Jelly Bean),TFT,4GB 512MB RAM,"Li-Ion 1700 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA,,,,"LED flash, HDR, panorama",Up to 6 h 40 min (2G) / Up to 5 h 40 min (3G),,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~212 ppi density)",GSM 900 / 1800,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
Yamaha audio amplifier,Up to 350 h,No,About 270 EUR,Allview X1 Soul Mini,microUSB 2.0,,,"Accelerometer, proximity, compass",Micro-SIM,,"4.5 inches, 55.8 cm2(~66.5% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,130.4 x 64.4 x 9.1 mm (5.13 x 2.54 x 0.36 in),147.7 g (5.19 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x1-soul-mini.jpg,GPS,,,2 MP,Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544MP2,,,"8 MP, AF","2013, November. Released 2013, November",No,FM radio,Mediatek MT6589T (28 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 4.2 (Jelly Bean),IPS LCD,16GB 1GB RAM,"Li-Po 3000 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA,,,,"LED flash, HDR, panorama",Up to 8 h 20 min (2G) / Up to 7 h (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~326 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
Yamaha audio amplifier,Up to 250 h,No,About 360 EUR,Allview X1 Soul,microUSB 2.0,,,"Accelerometer, proximity, compass",Micro-SIM,,"5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,143 x 69 x 7.9 mm (5.63 x 2.72 x 0.31 in),129.4 g (4.55 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x1-soul.jpg,GPS,,,5 MP,Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544MP2,,,"13 MP, AF","2013, November. Released 2013, November",No,FM radio,Mediatek MT6589T (28 nm),"Yes, built-in amplifier",,,Corning Gorilla Glass 3,Discontinued,Android 4.2 (Jelly Bean),IPS LCD,32GB 2GB RAM,"Li-Po 2000 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA,,,,"LED flash, HDR, panorama",Up to 6 h (2G) / Up to 5 h (3G),,HSDPA 900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
No,Up to 200 h,No,About 80 EUR,Allview A4 Duo,microUSB 2.0,,,"Accelerometer, proximity",Dual SIM (dual stand-by),,"3.5 inches, 36.5 cm2(~49.7% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,116.1 x 63.2 x 12 mm (4.57 x 2.49 x 0.47 in),110.6 (3.88 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-a4-duo.jpg,No,,,,Dual-core 1.0 GHz Cotex-A7,Mali-400,,,2 MP,"2013, November. Released 2013, November",No,FM radio,,Yes,,,,Discontinued,Android 4.2 (Jelly Bean),TFT,512MB RAM,"Li-Ion 1200 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA,,,,,Up to 8 h 20 min,,HSDPA 900 / 2100,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 900 / 1800,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
,Up to 220 h,microSDHC (dedicated slot),About 100 EUR,Allview A5 Duo,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.0 inches, 45.5 cm2(~56.1% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,126 x 64.4 x 11.5 mm (4.96 x 2.54 x 0.45 in),137.7 g (4.83 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-a5-duo.jpg,GPS,,,VGA,Dual-core 1.2 GHz Cotex-A7,Mali-400,,,3.15 MP,"2013, August. Released 2013, August",No,FM radio,,Yes,,,,Discontinued,Android 4.2.2 (Jelly Bean),TFT,4GB 512MB RAM,"Li-Ion 1700 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,LED flash,Up to 6 h 40 min (2G) / Up to 6 h (3G),,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
,Up to 230 h,microSDHC (dedicated slot),About 120 EUR,Allview H2 Qubo,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.5 inches, 55.8 cm2(~61.2% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,136 x 67 x 9.8 mm (5.35 x 2.64 x 0.39 in),142 g (5.01 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-h2-qubo.jpg,GPS,,,VGA,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,"5 MP, AF","2013, August. Released 2013, August",No,FM radio,,Yes,,,,Discontinued,Android 4.2 (Jelly Bean),TFT,4GB 512MB RAM,"Li-Ion 1800 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 6 h 40 min (2G) / Up to 6 h (3G),,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
Yamaha audio amplifier,Up to 180 h,microSDHC,About 200 EUR,Allview Viper i V1,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.7 inches, 60.9 cm2(~65.8% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,134.5 x 68.8 x 11 mm (5.30 x 2.71 x 0.43 in),143 g (5.04 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viper-i.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,"8 MP, AF","2014, May. Released 2014, May",No,FM radio,,Yes,,,Scratch-resistant glass,Discontinued,Android 4.2.2 (Jelly Bean),IPS LCD,8GB 1GB RAM,"Li-Ion 1800 mAh, removable","4.0, A2DP, EDR",Yes,"Black, white, yellow, blue, pink",HSPA,,,,"LED flash, HDR",Up to 6 h (2G) / Up to 5 h (3G),,HSDPA 900 / 2100,"540 x 960 pixels, 16:9 ratio (~234 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
Yamaha audio amplifier,Up to 280 h,microSDHC (dedicated slot),About 230 EUR,Allview Viper V1,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.7 inches, 60.9 cm2(~64.7% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,137.5 x 68.4 x 7.9 mm (5.41 x 2.69 x 0.31 in),124.9 g (4.37 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v1-viper.jpg,GPS,,,2 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,"8 MP, AF","2013, June. Released 2013, June",No,FM radio,Mediatek MT6589 (28 nm),Yes,,,Corning Gorilla Glass,Discontinued,Android 4.2 (Jelly Bean),IPS LCD,"4GB 1GB RAM, 16GB 1GB RAM","Li-Ion 1800 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White, Blue",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 6 h 20 min (2G) / Up to 5 h 30 min (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
Yamaha audio amplifier,Up to 400 h,microSDHC (dedicated slot),About 230 EUR,Allview P5 Qmax,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"5.3 inches, 77.4 cm2(~69.3% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,153 x 73 x 9.9 mm (6.02 x 2.87 x 0.39 in),176.9 g (6.21 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-qmax.jpg,GPS,,,1 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,"8 MP, AF","2013, June. Released 2013, June",No,FM radio,Mediatek MT6589 (28 nm),Yes,,,,Discontinued,Android 4.1 (Jelly Bean),TFT,4GB 1GB RAM,"Li-Ion 3000 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 8 h,,HSDPA 900 / 2100,"540 x 960 pixels, 16:9 ratio (~208 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
Yamaha audio amplifier,Up to 260 h,microSDHC (dedicated slot),,Allview P6 Quad,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.65 inches, 59.6 cm2(~63.1% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,135 x 70 x 8.6 mm (5.31 x 2.76 x 0.34 in),131.9 g (4.62 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p6-quad.jpg,GPS,,,1 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,"8 MP, AF","2013, April. Released 2013, April",No,FM radio,,Yes,,,Corning Gorilla Glass 2,Discontinued,Android 4.1.2 (Jelly Bean),Super AMOLED,4GB 1GB RAM,"Li-Po 2100 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 6 h 40 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~316 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
No,Up to 250 h,microSDHC (dedicated slot),About 20 EUR,Allview Simply S5,microUSB 2.0,,Class 10,,Dual SIM (dual stand-by),,"2.8 inches, 24.3 cm2(~35.2% screen-to-body ratio)",,Yes,"SMS, MMS",No,,GSM,Allview,,123 x 56 x 10.2 mm (4.84 x 2.20 x 0.40 in),113.6 (3.99 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-simply-s5.jpg,No,Class 12,Yes,,0,,,Yes,2 MP,"2013, April. Released 2013, April",No,FM radio,,Yes,,,,Discontinued,,"TFT, 256K colors",,"Li-Ion 1280 mAh, removable",2.0,Yes,"Black, White",,,,Yes,,Up to 5 h,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 900 / 1800,No
,Up to 200 h,microSDHC (dedicated slot),About 70 EUR,Allview A4ALL,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"3.5 inches, 36.5 cm2(~51.2% screen-to-body ratio)",,480p@25fps,,,,GSM / HSPA,Allview,,115 x 62 x 12.2 mm (4.53 x 2.44 x 0.48 in),122.7 g (4.30 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-a4all.jpg,GPS,,,VGA,1.0 GHz Cortex-A9,PowerVR SGX531,,,2 MP,"2013, April. Released 2013, April",No,"FM radio, RDS",,Yes,,,,Discontinued,Android 2.3.6 (Gingerbread),TFT,512MB 256MB RAM,"Li-Ion 1500 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White, Blue",HSPA 7.2/5.76 Mbps,,,,,Up to 5 h,,HSDPA 900 / 2100,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot"
Yamaha audio amplifier,Up to 230 h,microSDHC (dedicated slot),About 170 EUR,Allview P5 Quad,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.5 inches, 55.8 cm2(~61.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,136.5 x 67 x 9.8 mm (5.37 x 2.64 x 0.39 in),140.7 g (4.94 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-quad.jpg,GPS,,,1 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,"8 MP, AF","2013, February. Released 2013, February",No,"FM radio, RDS",Mediatek MT6589 (28 nm),Yes,,,,Discontinued,Android 4.1 (Jelly Bean),IPS LCD,4GB 1GB RAM,"Li-Ion 2100 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 6 h 40 min (2G) / Up to 5 h (3G),,HSDPA 900 / 2100,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
Yamaha audio amplifier,Up to 260 h,"microSDHC (dedicated slot), 16 GB included",About 200 EUR,Allview P6 Stony,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.65 inches, 59.6 cm2(~65.4% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,136 x 67 x 8.6 mm (5.35 x 2.64 x 0.34 in),131.3 g (4.62 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-stony-p6.jpg,GPS,,,1 MP,Dual-core 1.0 GHz Cotex-A9,PowerVR SGX531,,,"8 MP, AF","2012, November. Released 2012, November",No,"FM radio, RDS",,Yes,,,Corning Gorilla Glass 2,Discontinued,Android 4.0.4 (Ice Cream Sandwich),Super AMOLED,4GB 1GB RAM,"Li-Po 2100 mAh, non-removable","3.0, A2DP, EDR",Yes,Black,HSPA 7.2/5.76 Mbps,,,,"LED flash, HDR",Up to 5 h 30 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~316 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA"
Yamaha audio amplifier,Up to 240 h,microSDHC (dedicated slot),About 180 EUR,Allview P4 Duo,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.3 inches, 52.6 cm2(~61.9% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,128 x 66.4 x 9.9 mm (5.04 x 2.61 x 0.39 in),118.4 g (4.16 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p4-duo.jpg,GPS,,,VGA,Dual-core 1.0 GHz Cotex-A9,PowerVR SGX531,,,"8 MP, AF","2012, October. Released 2012, October",No,"FM radio, RDS",,Yes,,,Corning Gorilla Glass,Discontinued,Android 4.0.4 (Ice Cream Sandwich),Super AMOLED,4GB 512MB RAM,"Li-Ion 1600 mAh, removable","3.0, A2DP, EDR",Yes,"Black, White",HSPA 7.2/5.76 Mbps,,,,"LED flash, HDR",Up to 5 h,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA"
Yamaha audio amplifier,Up to 240 h,microSDHC (dedicated slot),About 90 EUR,Allview P5 Mini,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"3.95 inches, 46.5 cm2(~58.1% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,125 x 64 x 11.2 mm (4.92 x 2.52 x 0.44 in),162.2 g (5.71 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-mini.jpg,GPS,,,VGA,1.0 GHz Cotex-A9,PowerVR SGX531,,,3.15 MP,"2012, November. Released 2012, November",No,"FM radio, RDS",,Yes,,,Corning Gorilla Glass,Discontinued,Android 4.0.4 (Ice Cream Sandwich),TFT,4GB 512MB RAM,"Li-Ion 1700 mAh, removable","3.0, A2DP, EDR",Yes,"Black, White",HSPA 7.2/5.76 Mbps,,,,,Up to 5 h,,HSDPA 900 / 2100,"320 x 480 pixels, 3:2 ratio (~146 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA"
Yamaha audio amplifier,Up to 320 h,microSDHC (dedicated slot),,Allview P5 AllDro,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.3 inches, 52.6 cm2(~59.5% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,130 x 68 x 9.8 mm (5.12 x 2.68 x 0.39 in),134.3 g (4.73 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-alldro.jpg,GPS,,,VGA,1.0 GHz Cotex-A9,PowerVR SGX531,,,"8 MP, AF","2012, September. Released 2012, September",No,"FM radio, RDS",,Yes,,,Corning Gorilla Glass,Discontinued,Android 4.0.4 (Ice Cream Sandwich),IPS LCD,4GB 512MB RAM,"Li-Ion 1800 mAh, removable","3.0, A2DP, EDR",Yes,Black,HSPA 7.2/5.76 Mbps,,,,"LED flash, HDR",Up to 5 h,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA"
,Up to 330 h,microSDHC (dedicated slot),About 200 EUR,Allview P4 AllDro,microUSB 2.0,,,"Accelerometer, proximity, compass",Dual SIM (dual stand-by),,"4.3 inches, 52.6 cm2(~61.9% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,127.2 x 66.8 x 9.8 mm (5.01 x 2.63 x 0.39 in),118.4 g (4.16 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p4-alldro.jpg,GPS,,,VGA,1.0 GHz Cotex-A9,PowerVR SGX531,,,"8 MP, AF","2012, August. Released 2012, August",No,"FM radio, RDS",,Yes,,,Corning Gorilla Glass,Discontinued,Android 4.0.4 (Ice Cream Sandwich),Super AMOLED+,4GB 512MB RAM,"Li-Ion 1600 mAh, removable","3.0, A2DP, EDR",Yes,Black,HSPA 7.2/5.76 Mbps,,,,"LED flash, HDR",Up to 3 h 20 min,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA"
,Up to 300 h,"microSDHC (dedicated slot), 4 GB included",About 100 EUR,Allview P3 AllDro,microUSB 2.0,,,"Accelerometer, proximity",Dual SIM (dual stand-by),,"4.1 inches, 47.8 cm2(~60.2% screen-to-body ratio)",,480p@30fps,,,,GSM / HSPA,Allview,,121.5 x 65.4 x 12.9 mm (4.78 x 2.57 x 0.51 in),135.5 g (4.76 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p3-alldro.jpg,GPS,,,VGA,670 MHz,PowerVR SGX531,,,"8 MP, AF","2012, January. Released 2012, January",No,No,,Yes,,,,Discontinued,Android 2.3.5 (Gingerbread),TFT,512MB 512MB RAM,"Li-Ion 1900 mAh, removable","2.1, A2DP",Yes,"Black, White",HSPA 7.2/5.76 Mbps,,,,"LED flash, panorama",Up to 6 h 40 min,,HSDPA 2100,"480 x 800 pixels, 5:3 ratio (~228 ppi density)",GSM 900 / 1800,"Wi-Fi 802.11 b/g, hotspot"
,Up to 250 h,microSDHC (dedicated slot),About 80 EUR,Allview P2 AllDro,microUSB 2.0,,,"Accelerometer, proximity",Dual SIM (dual stand-by),,"3.5 inches, 36.5 cm2(~51.5% screen-to-body ratio)",,480p@30fps,,,,GSM / HSPA,Allview,,116 x 61 x 12.8 mm (4.57 x 2.40 x 0.50 in),124.6 g (4.37 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p2-alldro.jpg,GPS,,,VGA,670 MHz,PowerVR SGX531,,,"5 MP, AF","2012, January. Released 2012, January",No,No,,Yes,,,,Discontinued,Android 2.3.5 (Gingerbread),TFT,512MB 256MB RAM,"Li-Ion 1400 mAh, removable",2.1,Yes,Black,HSPA,,,,Panorama,Up to 6 h 10 min,,HSDPA 2100,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 900 / 1800,"Wi-Fi 802.11 b/g, hotspot"
,Up to 220 h,microSDHC (dedicated slot),,Allview P1 AllDro,microUSB 2.0,,Yes,"Accelerometer, proximity",Dual SIM (dual stand-by),,"3.5 inches, 36.5 cm2(~50.8% screen-to-body ratio)",,480p@30fps,,,,GSM,Allview,,115.9 x 62 x 12.9 mm (4.56 x 2.44 x 0.51 in),119 g (4.20 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p1-alldro1.jpg,GPS,Yes,,VGA,,,,,"5 MP, AF","2011, October. Released 2011, October",No,No,,Yes,,,,Discontinued,Android 2.2 (Froyo),TFT,512MB 256GB RAM,"Li-Ion 1500 mAh, removable",2.1,,Black,HSPA,,,,LED flash,Up to 5 h,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 900 / 1800,Wi-Fi 802.11 b/g
Flashlight,Up to 160 h,microSDHC (dedicated slot),About 20 EUR,Allview L4 Class,miniUSB,,No,,Dual SIM (dual stand-by),,"1.77 inches, 9.9 cm2(~20.3% screen-to-body ratio)",Audio/video playerVoice memo,Yes,"SMS, MMS",No,,GSM,Allview,,108 x 45 x 12.8 mm (4.25 x 1.77 x 0.50 in),84.6 g (2.96 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-l4-class.jpg,No,Yes,No,,0,,,Yes,VGA,"2012, November. Released 2012, November",No,FM radio,,Yes,,,,Discontinued,,"TFT, 256K colors",,"Li-Ion 800 mAh, removable",2.1,,"Black, White",,,,Yes,,Up to 5 h,No,,128 x 160 pixels (~116 ppi density),GSM 900 / 1800,No
No,Up to 230 h,microSDHC (dedicated slot),About 20 EUR,Allview M6 Stark,microUSB,,No,,Dual SIM (dual stand-by),,"2.0 inches, 12.6 cm2(~24.4% screen-to-body ratio)",,Yes,"SMS, MMS",No,,GSM,Allview,,109.8 x 47 x 12.7 mm (4.32 x 1.85 x 0.5 in),52 g (1.83 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-m6-stark.jpg,No,Yes,No,,0,,,Yes,1.3 MP,"2012, February. Released 2012, February",No,FM radio,,Yes,,,,Discontinued,,"TFT, 256K colors",,"Li-Ion 950 mAh, removable",2.1,Yes,"Black, White",,,,Yes,,Up to 4 h 30 min,Audio/video playerVoice memo,,176 x 220 pixels (~141 ppi density),GSM 900 / 1800,No
