,Type,Dimensions,Model Image,_1,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,Video,Brand,Languages,Status,Sensors,Resolution,Build,WLAN,Single,Price,_4,Models,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Talk time,OS,Loudspeaker,Single_1,Triple,CPU,SAR,Quad,Dual,Radio,Performance,Type_1,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,_2,Features,Stand-by,Protection,Positioning,_3,SAR EU,Speed,5G bands
,TFT,146.3 x 73.7 x 9.8 mm (5.76 x 2.90 x 0.39 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-s2pl.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)",,720p@30fps,Wiko,"Black, Gold, Bleen, Lime, Silver",Available. Released 2017,Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,,,Sunny2 Plus,,microUSB 2.0,Mali-400,8GB 1GB RAM,microSDXC,,HSDPA 900 / 2100,,Android 7.0 (Nougat),Yes,2 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 2000 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~63.9% screen-to-body ratio)",,165 g (5.82 oz),2017,Wiko Sunny2 Plus,,GSM / HSPA,,"LED flash, panorama, HDR",,,GPS,,,HSPA 21.1/5.76 Mbps,
,TFT,126.6 x 66.3 x 11.4 mm (4.98 x 2.61 x 0.45 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-s2.jpg,,"2.1, A2DP, EDR",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,720p@30fps,Wiko,"Space Grey, Gold, Lime, Silver, Bleen",Available. Released 2017,"Accelerometer, proximity, compass","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,,,,,microUSB 2.0,Mali-400,8GB 512MB RAM,microSDHC,,HSDPA 900 / 2100,,Android 6.0 (Marshmallow),Yes,2 MP,,Quad-core 1.2 GHz Cortex-A7,,,,FM radio,,"Li-Ion 1300 mAh, removable",GSM 850 / 900 / 1800 / 1900,"4.0 inches, 45.5 cm2(~54.3% screen-to-body ratio)",,125 g (4.41 oz),2017,Wiko Sunny2,,GSM / HSPA,,"LED flash, panorama",,,GPS,,,HSPA 21.1/5.76 Mbps,
,TFT,128.4 x 66.2 x 11.3 mm (5.06 x 2.61 x 0.44 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-sunny.jpg,,"4.0, A2DP",Yes,Mediatek MT6580M (28 nm),No,Mini-SIM,,1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","5 MP, f/2.2, 1/5.0"", 1.12µm",,,,,"microUSB 2.0, OTG",Mali-400MP2,8GB 512MB RAM,microSDXC (dedicated slot),"True Black, Pure White, Flashy Red, Bleen, Hot Pink",HSDPA 900 / 2100,Up to 10 h (2G) / Up to 5 h (3G),Android 6.0 (Marshmallow),Yes,"VGA, f/2.8, 1/10"", 2.2µm",,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 1200 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~53.6% screen-to-body ratio)",,123 g (4.34 oz),"2016, February. Released 2016, May",Wiko Sunny,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 270 h (2G) / Up to 270 h (3G),,GPS,,0.62 W/kg (head)     0.64 W/kg (body),HSPA 21.1/5.76 Mbps,
,TFT,128.3 x 66.3 x 13.2 mm (5.05 x 2.61 x 0.52 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-sm.jpg,,"2.1, A2DP, EDR",Yes,,No,"Dual SIM (Mini-SIM, dual stand-by)",,720p@30fps,Wiko,"Space Grey, Silver, Gold, Navy Blue",Available. Released 2016,"Accelerometer, proximity, compass","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,,,,,microUSB 2.0,Mali-400,8GB 512MB RAM,microSDHC,,HSDPA 900 / 2100,,Android 6.0 (Marshmallow),Yes,2 MP,,Quad-core 1.2 GHz Cortex-A7,,,,FM radio,,Li-Ion 2500 mAh battery,GSM 850 / 900 / 1800 / 1900,"4.0 inches, 45.5 cm2(~53.5% screen-to-body ratio)",,149 g (5.26 oz),2016,Wiko Sunny Max,,GSM / HSPA,,"LED flash, panorama",,,GPS,,,HSPA 21.1/5.76 Mbps,
,IPS LCD,154.6 x 78.8 x 9.4 mm (6.09 x 3.10 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-r2.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",720p@30fps,Wiko,,Available. Released 2017,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, AF",,,,,"microUSB 2.0, OTG",Adreno 304,16GB 2GB RAM,microSDXC,"Black, Gold, Rose Gold",HSDPA 900 / 2100,,Android 7.1 (Nougat),"Yes, with dual speakers",5 MP,,Quad-core 1.1 GHz Cortex-A7,,,,FM radio,,Li-Ion 2800 mAh battery,GSM 850 / 900 / 1800 / 1900,"5.5 inches, 83.4 cm2(~68.5% screen-to-body ratio)",,200 g (7.05 oz),2017,Wiko Robby2,,GSM / HSPA / LTE,,"LED flash, HDR",,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,155 x 79.1 x 10 mm (6.10 x 3.11 x 0.39 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-robby.jpg,,"4.0, A2DP",Yes,Mediatek MT6580M (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","8 MP, f/2.0, 1/4.0"", 1.12µm",,,ROBBY,LED flash,"microUSB 2.0, OTG",Mali-400MP2,16GB 1GB RAM,microSDXC,"Space Grey, Gold, Bleen, Rose Gold, Lime",HSDPA 900 / 1900 / 2100,Up to 17 h (2G) / Up to 15 h (3G),Android 6.0.1 (Marshmallow),"Yes, with stereo speakers","5 MP, f/2.4, 1/5.0"", 1.1µm",,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Po 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~68.0% screen-to-body ratio)",,185 g (6.53 oz),"2016, February. Released 2016, May",Wiko Robby,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 270 h (2G) / Up to 270 h (3G),,GPS,,0.30 W/kg (head)     0.46 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,145 x 73.1 x 9.9 mm (5.71 x 2.88 x 0.39 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-lenny3.jpg,,"4.0, A2DP",Yes,Mediatek MT6580M (28 nm),No,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,1080p@25fps,Wiko,,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","8 MP, f/2.0, 1/4.0"", 1.12µm",,,LENNY3,,"microUSB 2.0, OTG",Mali-400MP2,16GB 1GB RAM,microSDXC,"Space Grey, Bleen, Lime, Cinnabar, Gold, Rose Gold",HSDPA 900 / 1900 / 2100,Up to 17 h (2G) / Up to 13 h (3G),Android 6.0.1 (Marshmallow),Yes,"5 MP, f/2.4, 1/5.0"", 1.1µm",,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,Li-Ion 2000 mAh battery,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",,177 g (6.24 oz),"2016, February. Released 2016, May",Wiko Lenny3,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 450 h (2G) / Up to 450 h (3G),,GPS,,0.36 W/kg (head)     0.29 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,149.5 x 73.9 x 9.1 mm (5.89 x 2.91 x 0.36 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-fever-se.jpg,,"4.0, A2DP",Yes,Mediatek MT6753 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)",LTE 800 / 1800 / 2100 / 2600,1080p@30fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity, compass","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA","13 MP, f/2.2, 1/3.1"", 1.12µm, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-T720MP3,32GB 3GB RAM,microSDXC,"Silver, Anthracite, Lime, Cinnabar, Ash Wood, Oak Wood",HSDPA 900 / 1900 / 2100,Up to 22 h (2G) / Up to 16 h (3G),Android 6.0 (Marshmallow),Yes,"5 MP, f/2.2, 1/4.0"", 1.4µm",,Octa-core 1.3 GHz Cortex-A53,,,,FM radio,,"Li-Po 2900 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.2 inches, 74.5 cm2(~67.5% screen-to-body ratio)",,150 g (5.29 oz),"2016, February. Released 2016, May",Wiko Fever SE,1080p@30fps,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,Corning Gorilla Glass 3,GPS,,0.24 W/kg (head)     0.57 W/kg (body),"HSPA 21.1/11.5 Mbps, LTE Cat4 150/50 Mbps",
eMMC 4.5,IPS LCD,155.4 x 79.3 x 8.5 mm (6.12 x 3.12 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-pulp-fab-4g.jpg,,"4.0, A2DP",Yes,Qualcomm MSM8916 Snapdragon 410 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Adreno 306,16GB 2GB RAM,microSDXC,"Black, White, Chocolate, Electric Blue, Flashy Red",HSDPA 900 / 1900 / 2100,Up to 27 h 30 min (2G) / Up to 20 h 40 min (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",5 MP,,Quad-core 1.2 GHz Cortex-A53,,,,FM radio,,"Li-Po 2820 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~67.7% screen-to-body ratio)",,168 g (5.93 oz),"2015, November. Released 2015, November",Wiko Pulp Fab 4G,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",Up to 259 h (2G) / Up to 259 h (3G),,GPS,,0.38 W/kg (head)     0.97 W/kg (body),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,154.7 x 79.3 x 8.5 mm (6.09 x 3.12 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-pulp-fab.jpg,,"4.0, A2DP",Yes,Mediatek MT6592M (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-450MP4,16GB 2GB RAM,microSDXC,"Black, White, Chocolate, Electric Blue, Flashy Red",HSDPA 900 / 1900 / 2100,Up to 29 h 40 min (2G) / Up to 18 h 50 min (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",5 MP,,Octa-core 1.4 GHz Cortex-A7,,,,FM radio,,Li-Po 2820 mAh battery,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~68.0% screen-to-body ratio)",,170 g (6.00 oz),"2015, October. Released 2015, October",Wiko Pulp Fab,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 408 h (2G) / Up to 408 h (3G),,GPS,,0.25 W/kg (head)     0.27 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,143.9 x 72 x 8.5 mm (5.67 x 2.83 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-pulp.jpg,,"4.0, A2DP",Yes,Mediatek MT6592M (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-450MP4,"16GB 2GB RAM, 32GB 2GB RAM",microSDXC,"Black, White, Chocolate, Electric Blue, Flashy Red",HSDPA 900 / 1900 / 2100,Up to 26 h (2G) / Up to 17 h (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",5 MP,,Octa-core 1.4 GHz Cortex-A7,,,,FM radio,,Li-Po 2500 mAh battery,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",,149 g (5.26 oz),"2015, November. Released 2015, November",Wiko Pulp,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 240 h (2G) / Up to 240 h (3G),,GPS,,0.33 W/kg (head)     0.46 W/kg (body),HSPA 21.1/11.5 Mbps,
eMMC 4.5,IPS LCD,143.9 x 72 x 8.8 mm (5.67 x 2.83 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-pulp-4g.jpg,,"4.0, A2DP",Yes,Qualcomm MSM8916 Snapdragon 410 (28 nm),No,Nano-SIM + Micro-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Adreno 306,16GB 2GB RAM,microSDXC (uses shared SIM slot),"Black, White, Chocolate, Electric Blue, Flashy Red",HSDPA 900 / 1900 / 2100,Up to 22 h (2G) / Up to 19 h (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",5 MP,,Quad-core 1.2 GHz Cortex-A53,,,,FM radio,,"Li-Po 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",,151 g (5.33 oz),"2015, November. Released 2015, November",Wiko Pulp 4G,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",Up to 280 h (2G) / Up to 280 h (3G),,GPS,,0.11 W/kg (head)     0.39 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,148 x 73.8 x 8.3 mm (5.83 x 2.91 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-fever.jpg,,"4.0, A2DP",Yes,Mediatek MT6753 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-T720MP3,"16GB 2GB RAM, 16GB 3GB RAM",microSDXC,"White/Gold, Black/Gold, Black/Grey",HSDPA 900 / 1900 / 2100,Up to 21 h 40 min (2G) / Up to 16 h 10 min (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",5 MP,,Octa-core 1.3 GHz Cortex-A53,,,,FM radio,,"Li-Po 2900 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.2 inches, 74.5 cm2(~68.2% screen-to-body ratio)",,143 g (5.04 oz),"2015, September. Released 2015, November",Wiko Fever 4G,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",Up to 216 h (2G) / Up to 216 h (3G),Corning Gorilla Glass 3,GPS,,0.24 W/kg (head)     0.57 W/kg (body),"HSPA 21.1/11.5 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,145.4 x 73.2 x 9 mm (5.72 x 2.88 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-lenny2.jpg,,"4.0, A2DP",Yes,Mediatek MT6580M (28 nm),No,Dual SIM (Micro-SIM),,1080p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",5 MP,About 120 EUR,,LENNY2,,"microUSB 2.0, OTG",Mali-400MP2,4GB 768MB RAM,microSDXC,"Black, White, Coral, Bleen, Blue",HSDPA 900 / 2100,Up to 11 h 40 min (2G) / Up to 12 h 10 min (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",2 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Po 1800 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~64.7% screen-to-body ratio)",,156 g (5.50 oz),"2015, September. Released 2015, September",Wiko Lenny2,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 240 h (2G) / Up to 240 h (3G),,GPS,,0.33 W/kg (head)     0.41 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,142.5 x 71.6 x 9.3 mm (5.61 x 2.82 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-rainbow-jam.jpg,,"4.0, A2DP",Yes,Mediatek MT6580 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@24fps,Wiko,,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","8 MP, AF",,,,,"microUSB 2.0, OTG",Mali-400MP2,8GB 1GB RAM,microSDXC,"Black, White, Bleen, Coral, Blue",HSDPA 900 / 1900 / 2100,Up to 23 h (2G) / Up to 20 h (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~67.5% screen-to-body ratio)",,159 g (5.61 oz),"2015, September. Released 2015, September",Wiko Rainbow Jam,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 336 h (2G) / Up to 336 h (3G),,GPS,,0.33 W/kg (head)     0.48 W/kg (body),HSPA 21.1/5.76 Mbps,
eMMC 4.5,IPS LCD,143.1 x 71.4 x 8.7 mm (5.63 x 2.81 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-rainbow-jam-4g.jpg,,"4.0, A2DP",Yes,Qualcomm MSM8909 Snapdragon 210 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",720p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","8 MP, AF",,,,,"microUSB 2.0, OTG",Adreno 304,8GB 1GB RAM,microSDXC,"Black, White, Bleen, Coral, Blue",HSDPA 900 / 1900 / 2100,Up to 24 h 30 min (2G) / Up to 21 h 30 min (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",5 MP,,Quad-core 1.1 GHz Cortex-A7,,,,FM radio,,Li-Po 2500 mAh battery,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~67.5% screen-to-body ratio)",,153 g (5.40 oz),"2015, September. Released 2015, September",Wiko Rainbow Jam 4G,,GSM / HSPA / LTE,,"LED flash, HDR",Up to 238 h (2G) / Up to 238 h (3G),,GPS,,0.25 W/kg (head)     0.39 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 4.5,IPS LCD,143 x 71.2 x 9 mm (5.63 x 2.80 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-rainbow-lite-4g.jpg,,"4.0, A2DP",Yes,Qualcomm MSM8909 Snapdragon 210 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",720p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5 MP, AF",,,RAINBOW LITE 4G,,microUSB 2.0,Adreno 304,4GB 1GB RAM,microSDXC,"Black, White, Coral, Bleen, Blue",HSDPA 900 / 1900 / 2100,Up to 11 h 40 min (2G) / Up to 13 h 10 min (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",2 MP,,Quad-core 1.1 GHz Cortex-A7,,,,FM radio,,"Li-Ion 2000 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)",,158 g (5.57 oz),"2015, August. Released 2015, August",Wiko Rainbow Lite 4G,,GSM / HSPA / LTE,,"LED flash, HDR",Up to 144 h (2G) / Up to 144 h (3G),,GPS,,0.17 W/kg (head)     0.47 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,AMOLED,141 x 68.4 x 7.7 mm (5.55 x 2.69 x 0.30 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-selfy.jpg,,"4.0, A2DP",Yes,Mediatek MT6735P (28 nm),No,Micro-SIM,"1, 3, 7, 20",720p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","8 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-T720MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, White, Mint, Ruby",HSDPA 900 / 1900 / 2100,Up to 18 h 30 min (2G) / Up to 11 h 30 min (3G),Android 5.1 (Lollipop),"Yes, with stereo speakers",8 MP,,Quad-core 1.0 GHz Cortex-A53,,,,FM radio,,Li-Po 2300 mAh battery,GSM 850 / 900 / 1800 / 1900,"4.8 inches, 63.5 cm2(~65.9% screen-to-body ratio)",,116 g (4.09 oz),"2015, August. Released 2015, August",Wiko Selfy 4G,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",Up to 336 h (2G) / Up to 336 h (3G),,GPS,,0.40 W/kg (head)     0.52 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,143 x 71.1 x 8.4 mm (5.63 x 2.80 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-rainbow-up-4g.jpg,,"4.0, A2DP",Yes,Mediatek MT6735P (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",720p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","8 MP, AF",,,,,"microUSB 2.0, OTG",Mali-T720MP2,8GB 1GB RAM,microSDXC,"Black, White, Bleen, Coral, Blue",HSDPA 900 / 1900 / 2100,Up to 15 h (2G) / Up to 23 h 40 min (3G),Android 5.0 (Lollipop),"Yes, with stereo speakers",5 MP,,Quad-core 1.0 GHz Cortex-A53,,,,FM radio,,"Li-Po 2800 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~67.8% screen-to-body ratio)",,128 g (4.52 oz),"2015, May. Released 2015, August",Wiko Rainbow UP 4G,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",Up to 451 h (2G) / Up to 451 h (3G),,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,TFT,128 x 65.6 x 10.9 mm (5.04 x 2.58 x 0.43 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-sunset2.jpg,,"4.0, A2DP",Yes,Mediatek MT6572W,No,"Dual SIM (Mini-SIM, dual stand-by)",,720p@9fps,Wiko,,Discontinued,Accelerometer,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",2 MP,,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC,"Black, White, Bleen, Coral, Blue",HSDPA 900 / 1900 / 2100,Up to 14 h 20 min (2G) / Up to 7 h 40 min (3G),Android 4.4 (KitKat),"Yes, with stereo speakers",1.3 MP,,Dual-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 1300 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~54.2% screen-to-body ratio)",,121 g (4.27 oz),"2015, April. Released 2015, July",Wiko Sunset2,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 360 h (2G) / Up to 360 h (3G),,GPS,,0.90 W/kg (head)     1.41 W/kg (body),HSPA 21.1/5.76 Mbps,
,IPS LCD,139 x 71.6 x 8.8 mm (5.47 x 2.82 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-bloom2.jpg,,"4.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,Yes,Wiko,,Discontinued,"Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~199 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","8 MP, AF",,,,,"microUSB 2.0, OTG",Mali-400MP2,8GB 1GB RAM,microSDHC,Black,HSDPA 900 / 2100,Up to 16 h 30 min (2G) / Up to 15 h 30 min (3G),Android 5.0 (Lollipop),"Yes, with stereo speakers",2 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 2120 mAh, removable",GSM 850 / 900 / 1800 / 1900,"4.7 inches, 62.9 cm2(~63.2% screen-to-body ratio)",,151 g (5.33 oz),"2015, June. Released 2015, June",Wiko Bloom2,,GSM / HSPA,,"LED flash, panorama, HDR",Up to 360 h (2G) / Up to 360 h (3G),,GPS,,,HSPA 21.1/5.76 Mbps,
