,CPU,Single,Internal,Model Image,SIM,WLAN,Price,Dimensions,_3,_4,Performance,128GB 8GB RAM,Battery (new),Dual,Camera,Dual_1,NFC,Infrared port,Quad,OS,4G bands,USB,Protection,Video,_5,5G bands,Size,Speed,Card slot,3G bands,2G bands,64GB 3GB RAM,Positioning,Announced,Type,Video_1,Type_1,Build,256GB 8GB RAM,SAR,Bluetooth,Loudspeaker_1,512GB 8GB RAM,Radio,Chipset,256GB 12GB RAM,Display,Features,Sensors,Technology,Colors,Weight,Status,Features_1,Single_1,Loudspeaker,Models,Charging,_1,Battery (old),GPU,_2,64GB 4GB RAM,3.5mm jack,Resolution,Model Name,Brand,Triple
,Quad-core 1.3 GHz,"13 MP, f/2.0, AF","16GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot6-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,,157.7 x 75.4 x 8 mm (6.21 x 2.97 x 0.31 in),,,,,,,,,No,,,Android 8.1 (Oreo) - 2 GB modelAndroid 8.1 Oreo (Go edition) - 1 GB model,,"microUSB 2.0, OTG",,1080p@30fps,,,"6.0 inches, 92.9 cm2(~78.1% screen-to-body ratio)",HSPA 42.2/5.76 Mbps,microSDXC (dedicated slot),HSDPA 850 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,1080p@30fps,"4000 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,,,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA,"Bordeaux Red, Magic Gold, Sandstone Black, City Blue",145 g (5.11 oz),Available. Released 2018,LED flash,8 MP,"Yes, with dual speakers","X606D, X606C, X606, X606B",10W wired,,,,,,Yes,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Infinix Hot 6,Infinix,
eMMC 5.1,Octa-core 2.0 GHz Cortex-A53,"12 MP, f/2.0, 1/2.8"", 1.25µm, PDAF","32GB 3GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note5-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,About 90 EUR,158 x 75 x 8.4 mm (6.22 x 2.95 x 0.33 in),,,,,,,,,No,,,"Android 8.1 (Oreo), Android One","1, 3, 5, 8, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.0 inches, 92.9 cm2(~78.4% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,1080p@30fps,"4500 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6763 Helio P23 (16 nm),,,"Dual-LED dual-tone flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Berlin Gray, Ice Blue, Milan Black",173 g (6.10 oz),Available. Released 2018,LED flash,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",Yes,"X604, X604B",10W wired,,,Mali-G71 MP2,,,Yes,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Infinix Note 5,Infinix,
,Quad-core 1.5 GHz Cortex-A53,8 MP,16GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart2-pro-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,,147.5 x 71 x 8.3 mm (5.81 x 2.80 x 0.33 in),,,,,,"13 MP, PDAF2 MP, (depth)",,,No,,,Android 8.1 (Oreo),"1, 3, 5, 8, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"5.5 inches, 78.1 cm2(~74.5% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,1080p@30fps,"Li-Ion 3050 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,,,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Sandstone Black, Bordeaux Red, Serene Gold",138 g (4.87 oz),Available. Released 2018,LED flash,,Yes,X5514D,,,,,,,Yes,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Infinix Smart 2 Pro,Infinix,
,Quad-core 1.5 GHz Cortex-A53 or Quad-core 1.3 GHz Cortex-A53,"13 MP, PDAF","16GB 1GB RAM, 16GB 2GB RAM, 32GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart2-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n,,148 x 71 x 8.4 mm (5.83 x 2.80 x 0.33 in),,,,,,,,,No,,,Android 8.1 (Oreo) or Android 8.1 Oreo (Go edition),"1, 3, 5, 8, 40, 41",,,1080p@30fps,,,"5.5 inches, 78.1 cm2(~74.3% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,1080p@30fps,"Li-Ion 3050 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,,,,"Dual-LED flash, panorama, HDR","Accelerometer, proximity; Fingerprint (16GB/1GB only)",GSM / HSPA / LTE,"Sandstone Black, Bordeaux Red, Serene Gold, City Blue",138 g (4.87 oz),Available. Released 2018,Dual-LED flash,8 MP,Yes,"X5515, X5515F",,,,,,,Yes,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Infinix Smart 2,Infinix,
eMMC 5.1,Quad-core 1.4 GHz Cortex-A53,"5 MP, f/2.0","16GB 2GB RAM, 32GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot6-pro-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n,,160.4 x 76.2 x 8.3 mm (6.31 x 3.00 x 0.33 in),,,,,,"13 MP, f/2.0, PDAF2 MP, (depth)",,,No,,,Android 8.0 (Oreo),"1, 3, 5, 8, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.0 inches, 92.9 cm2(~76.0% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,,"4000 mAh, non-removable",,,,"4.1, A2DP, LE",,,FM radio,Qualcomm MSM8917 Snapdragon 425 (28 nm),,,"LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Bordeaux Red, Magic Gold, Sandstone Black, Blue",158 g (5.57 oz),Available. Released 2018,LED flash,,Yes,X608,,,,Adreno 308,,,Yes,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Infinix Hot 6 Pro,Infinix,
eMMC 5.1,Octa-core 1.4 GHz Cortex-A53,"13 MP, PDAF",32GB 3GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-s3-n.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n,,153 x 72.9 x 8.4 mm (6.02 x 2.87 x 0.33 in),,,,,,,,,No,,,Android 8.1 (Oreo),"1, 3, 5, 8, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"5.7 inches, 83.8 cm2(~75.2% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,,"4000 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,Qualcomm MSM8937 Snapdragon 430 (28 nm),,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Blush Gold, Sandstone Black, Topaz Blue, Bordeaux Red, Brush Gold",150 g (5.29 oz),Available. Released 2018,Dual-LED flash,"20 MP, f/2.0, (wide)",Yes,"X573, X573B",10W wired,,,Adreno 505,,,Yes,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Infinix Hot S3,Infinix,
,Octa-core (4x2.6 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",128GB 6GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero5-pro.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 a/b/g/n,,166.4 x 82.4 x 8 mm (6.55 x 3.24 x 0.31 in),,,,,,"12 MP (wide), f/2.0, AF13 MP (telephoto), f/2.6, 2x zoom, AF",,,No,,,Android 7.0 (Nougat),"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40","USB Type-C 2.0, OTG",Corning Gorilla Glass 3,1080p@30fps,,,"5.98 inches, 98.6 cm2(~71.9% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,,"Li-Ion 4350 mAh, non-removable","Glass front (Gorilla Glass 3), aluminum back, aluminum frame",,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6757CD Helio P20 (16 nm),,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,Bronze Gold Black,197 g (6.95 oz),Available. Released 2018,LED flash,,Yes,,,,,Mali-T880MP2,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~368 ppi density)",Infinix Zero 5 Pro,Infinix,
,Octa-core (4x2.6 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",64GB 6GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero5-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 a/b/g/n,,166.4 x 82.4 x 8 mm (6.55 x 3.24 x 0.31 in),,,,,,"12 MP (wide), f/2.0, AF13 MP (telephoto), f/2.6, 2x zoom, AF",,,No,,,Android 7.0 (Nougat),"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40","USB Type-C 2.0, OTG",Corning Gorilla Glass 3,1080p@30fps,,,"5.98 inches, 98.6 cm2(~71.9% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,,"Li-Ion 4350 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6757CD Helio P20 (16 nm),,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Sandstone Black, Champange Gold, Bordeaux Red",197 g (6.95 oz),Available. Released 2018,LED flash,,Yes,X603,,,,Mali-T880MP2,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~368 ppi density)",Infinix Zero 5,Infinix,
HSDPA 850 / 1700(AWS) / 1900 / 2100,Quad-core 1.3 GHz Cortex-A7,"8 MP, AF",16GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot5-lite-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,,154.8 x 77.7 x 8.4 mm (6.09 x 3.06 x 0.33 in),,,,,,,,,No,,,Android 7.0 (Nougat),,"microUSB 2.0, OTG",,720p@30fps,,,"5.5 inches, 83.4 cm2(~69.3% screen-to-body ratio)",HSPA 42.2/11.5 Mbps,microSDHC,HSDPA 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2017,IPS LCD,,"4000 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6580M,,,"LED flash, panorama, HDR","Accelerometer, proximity, compass",GSM / HSPA,"Gold, Black, White, Lemon, Red",168 g (5.93 oz),Available. Released 2017,LED flash,5 MP,"Yes, with stereo speakers",,,Dirac 3D Stereo Surround sound,,Mali-400MP2,,,Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Infinix Hot 5 Lite,Infinix,
Dirac 3D Stereo Surround sound,Quad-core 1.3 GHz Cortex-A7,"8 MP, AF",16GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot5-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,,154.8 x 77.7 x 8.4 mm (6.09 x 3.06 x 0.33 in),,,,,,,,,No,,,Android 7.0 (Nougat),,"microUSB 2.0, OTG",,720p@30fps,,,"5.5 inches, 83.4 cm2(~69.3% screen-to-body ratio)",HSPA 42.2/11.5 Mbps,microSDHC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2017,IPS LCD,720p,"4000 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6580M,,,"LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA,"Gold, Black, White, Lemon, Red",168 g (5.93 oz),Available. Released 2017,LED flash,5 MP,"Yes, with stereo speakers","X559C, X559, X559F",,,,Mali-400MP2,,,Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Infinix Hot 5,Infinix,
Stylus (not integrated),Octa-core 1.3 GHz Cortex-A53,"13 MP, AF","16GB 2GB RAM, 32GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note4-pro-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 a/b/g/n,,159 x 79 x 8.3 mm (6.26 x 3.11 x 0.33 in),,,,,,,,,No,,,Android 7.0 (Nougat),"1, 3, 5, 7, 8, 20, 38, 40","microUSB 2.0, OTG",,1080p@30fps,,,"5.7 inches, 89.6 cm2(~71.3% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2017, July",IPS LCD,,"4500 mAh, non-removable","Glass front, aluminum frame",,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6753 (28 nm),,,"Dual-LED dual-tone flash, panorama, HDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Champagne Gold, Sandstone Black, Prussian Blue, Lilac Gray",200 g (7.05 oz),"Available. Released 2017, July",LED flash,"8 MP, 1/3.2"", 1.4µm",Yes,X571,25W wired,,,Mali-T720MP3,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~386 ppi density)",Infinix Note 4 Pro,Infinix,
,Octa-core 1.3 GHz Cortex-A53,"13 MP, AF","16GB 2GB RAM, 32GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note4-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 a/b/g/n,,159 x 78.8 x 8.4 mm (6.26 x 3.10 x 0.33 in),,,,,,,,,No,,,Android 7.0 (Nougat),"2, 3, 4, 7, 28","microUSB 2.0, OTG",,1080p@30fps,,,"5.7 inches, 89.6 cm2(~71.5% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2018,IPS LCD,,"4300 mAh, non-removable","Glass front, aluminum back, aluminum frame",,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6753 (28 nm),,,"Dual-LED dual-tone flash, panorama, HDR","Fingerprint (front-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Champagne Gold, Milan Black, Ice Blue",198 g (6.98 oz),Available. Released 2018,LED flash,"8 MP, 1/3.2"", 1.4µm",Yes,"X572, X572-LTE",18W wired,,,Mali-T720MP3,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~386 ppi density)",Infinix Note 4,Infinix,
HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,"8 MP, AF",16GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,,144.9 x 71.9 x 8.4 mm (5.70 x 2.83 x 0.33 in),,,,,,,,,No,,,Android 7.0 (Nougat),,"microUSB 2.0, OTG",,720p@30fps,,,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",HSPA 42.2/5.76 Mbps,microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2017,IPS LCD,,"Li-Ion 3060 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6580 (28 nm),,,"LED flash, panorama, HDR","Accelerometer, proximity",GSM / HSPA,"Champagne gold, Sandstone Black, Bordeaux red, Mysterious blue, Apple Green",145 g (5.11 oz),Available. Released 2017,LED flash,2 MP,"Yes, with stereo speakers",X5010,,HSDPA 850 / 1700(AWS) / 1900 / 2100,,Mali-400MP2,,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Infinix Smart,Infinix,
HSDPA 850 / 1700 / 1900 / 2100,Deca-core 2.0 GHz,"21 MP, f/2.0, PDAF, OIS",64GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero4-plus-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,160.5 x 83 x 8.3 mm (6.32 x 3.27 x 0.33 in),,,,,,,,,No,,,Android 6.0 (Marshmallow),"1, 3, 5, 7, 8, 20, 38, 40","microUSB 2.0, OTG",Corning Gorilla Glass 3,1080p@30fps,,,"5.98 inches, 98.6 cm2(~74.0% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2017, March",IPS LCD,,"Li-Ion 4000 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6797M Helio X20 (20 nm),,,"Laser AF, Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Lilac grey, Champagne, Galaxy Blue, Silver purple",203 g (7.16 oz),"Available. Released 2017, March",LED flash,"13 MP, f/2.2",Yes,Zero 4 Plus,,"2, 3, 4, 7, 28",,Mali-T880 MP4,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~368 ppi density)",Infinix Zero 4 Plus,Infinix,
HSDPA 850 / 1700 / 1900 / 2100,Octa-core 1.3 GHz Cortex-A53,"16 MP, f/2.0, PDAF, OIS",32GB 3GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero4-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,151.5 x 76 x 7.8 mm (5.96 x 2.99 x 0.31 in),,,,,,,,,No,,,Android 6.0 (Marshmallow),"1, 3, 5, 7, 8, 20, 38, 40","microUSB 2.0, OTG",Corning Gorilla Glass 3,1080p@30fps,,,"5.5 inches, 83.4 cm2(~72.4% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2017, March",IPS LCD,,"Li-Ion 3200 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6753 (28 nm),,,"Laser AF, Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Anthracite Grey, Champagne Gold, Barbie Pink, Filber Brown",167.5 g (5.93 oz),"Available. Released 2017, March",LED flash,"8 MP, f/2.2",Yes,Zero 4,,"2, 3, 4, 7, 28",,Mali-T720MP3,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Infinix Zero 4,Infinix,
HSDPA 850 / 1700(AWS) / 1900 / 2100,Octa-core 1.3 GHz Cortex-A53,"13 MP, PDAF","16GB 2GB RAM, 32GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-s2-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 a/b/g/n,,148.9 x 72.1 x 8.1 mm (5.86 x 2.84 x 0.32 in),,,,,,"13 MP8 MP, 9mm (ultrawide)",,,No,,,Android 7.0 (Nougat),"1, 3, 5, 7, 8, 20, 38, 40","microUSB 2.0, OTG",,1080p@30fps,,,"5.2 inches, 74.5 cm2(~69.4% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2017,IPS LCD,,"3000 mAh, non-removable",,,,"4.2, A2DP, LE",,,FM radio,Mediatek MT6753 (28 nm),,,"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Orchid Gray, Coral Blue, Arctic Silver, Maple Gold",147 g (5.19 oz),Available. Released 2017,LED flash,,Yes,"S2 Pro, S2",10W wired,"2, 3, 4, 7, 28",,Mali-T720MP3,,,Yes,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Infinix S2 Pro,Infinix,
eMMC 5.0,Quad-core 1.3 GHz Cortex-A7,"13 MP, AF",16GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot4-pro-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 a/b/g/n,,152.6 x 76.2 x 8.6 mm (6.01 x 3.00 x 0.34 in),,,,,,,,,No,,,Android 6.0 (Marshmallow),"1, 3, 5, 7, 8, 20, 38, 40",microUSB 2.0,,1080p@30fps,,,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC,HSDPA 850 / 1700 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2016, August",IPS LCD,,"4000 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6737W (28 nm),,,"LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Anthracite Gray, Champagn Gold, Glossy Silver, Mysterious Blue",175 g (6.17 oz),"Available. Released 2016, August",LED flash,5 MP,Yes,HOT 4 Pro,,,,Mali,,,Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Infinix Hot 4 Pro,Infinix,
,Quad-core 1.3 GHz Cortex-A7,"8 MP, AF","16GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot4-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,,152.6 x 76.2 x 8.6 mm (6.01 x 3.00 x 0.34 in),,,,,,,,,No,,,Android 6.0 (Marshmallow),,microUSB 2.0,,1080p@30fps,,,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",HSPA 42.2/11.5 Mbps,microSDHC,HSDPA 850 / 1700 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2016, July",IPS LCD,720p,"4000 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6580,,,"LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA,"Luxurious Gold, Sandstone Black, Scarlet Red, Turquoise Dream, Sapphire Blue",175 g (6.17 oz),"Available. Released 2016, July",LED flash,5 MP,Yes,HOT 4,,,,Mali-400MP2,,,Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Infinix Hot 4,Infinix,
,Octa-core 1.3 GHz Cortex-A53,"13 MP, AF","16GB 2GB RAM, 16GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note3-pro-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 a/b/g/n,,162.5 x 82.8 x 8.4 mm (6.40 x 3.26 x 0.33 in),,,,,,,,,No,,,Android 6.0 (Marshmallow),"1, 3, 5, 7, 8, 20, 38, 40",microUSB 2.0,,1080p@30fps,,,"6.0 inches, 99.2 cm2(~73.8% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2016, July",IPS LCD,,"Li-Ion 4500 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6753 (28 nm),,,"Dual-LED flash, panorama","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Palm gold, Crystal gray, Champagne Gold, Glossy silver",199 g (7.02 oz),"Available. Released 2016, July",LED flash,5 MP,Yes,NOTE 3 Pro,,,,Mali-T720MP3,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",Infinix Note 3 Pro,Infinix,
,Octa-core 1.3 GHz Cortex-A53,"13 MP, AF",16GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-note3-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 a/b/g/n,,162.5 x 82.8 x 8.4 mm (6.40 x 3.26 x 0.33 in),,,,,,,,,No,,,Android 6.0 (Marshmallow),LTE,microUSB 2.0,,1080p@30fps,,,"6.0 inches, 99.2 cm2(~73.8% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2016, July",IPS LCD,,"Li-Ion 4500 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6753 (28 nm),,,"Dual-LED flash, panorama,","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Palm gold, Crystal gray, Champagne Gold, Glossy silver",199 g (7.02 oz),"Available. Released 2016, July",LED flash,5 MP,Yes,X601,,,,Mali-T720MP3,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",Infinix Note 3,Infinix,
,Octa-core 1.3 GHz Cortex-A53,"13 MP, AF",16GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-s-n.jpg,"Dual SIM (Micro-SIM, dual stand-by)",,,148.8 x 73.2 x 8 mm (5.86 x 2.88 x 0.31 in),,,,,,,,,No,,,Android 6.0 (Marshmallow),LTE,microUSB 2.0,,1080p@30fps,,,"5.2 inches, 74.5 cm2(~68.4% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC,HSDPA 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2016, June",TFT,1080p@30fps,"Li-Ion 3000 mAh, non-removable",,,,"4.0, A2DP, LE",,,FM radio,Mediatek MT6753 (28 nm),,,LED flash,"Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Pink, Gold, Blue, Gray, Black",140 g (4.94 oz),"Available. Released 2016, June",,8 MP,Yes,"X521, HOT S, X521_LTE",,,,Mali-T720MP3,,,Yes,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Infinix Hot S,Infinix,
