,Features,CPU,4G bands,Single_1,Stand-by,Loudspeaker,Bluetooth,Games,OS,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Languages,Speed,NFC,Build,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Video,Type_1,_4,Sensors,Java
Flashlight,LED flash,,,,Up to 400 h,Yes,Yes,Yes,,"Analog TVMSN, Facebook, Yahoo, Twitter applicationsMP3/WAV playerMP4/H.263 player",,No,QWERTY,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,63.8 g (2.22 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 4 h,microSDHC (dedicated slot),,,,,"2011, September. Released 2011, September",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-whiz.jpg,"2.0 inches, 12.4 cm2(~19.5% screen-to-body ratio)",Plum Whiz,"SMS, MMS, Email, IM","Black, Red, Blue, White",TFT,300 entries,Yes,111.4 x 57.1 x 16.1 mm (4.39 x 2.25 x 0.63 in),"64MB ROM, 32MB RAM",microUSB,No,No,FM radio,,,Yes,Removable Li-Ion 1000 mAh battery (BL-4L),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 400 h,Yes,1.2,Yes,,No,2.5 mm audio jack,No,QWERTY,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,83 g (2.93 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,160 x 128 pixels (~116 ppi density),Up to 3 h,microSDHC (dedicated slot),"English, Spanish, Portuguise, French",,,,"2011, May. Released 2011, May",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-stuby.jpg,"1.77 inches, 9.9 cm2(~21.8% screen-to-body ratio)",Plum Stubby,"SMS, MMS, Email","Black, white, Dark red, Silver, Yellow, Sky Blue, magenta, Violet, Green, Orange","TFT, 65K colors",500 entries,Class 10,103 x 44 x 15 mm (4.06 x 1.73 x 0.59 in),"64MB ROM, 32MB RAM",microUSB 2.0,No,No,FM radio,,,@10fps,Removable Li-Ion 800 mAh battery (BL-4C),"Ebuddy, Facebook, Yahoo, TwitterOrganizerMP4/3gp playerMP3/WMA/WAV playerPredictive text input",,No
Flashlight,,,,,Up to 500 h,Yes,Yes,Yes,,"Analog TVFacebook, Twitter, Yahoo, MSN, Ebuddy applicationsMusic/video player",,No,QWERTY,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,85 g (3.00 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,176 x 144 pixels (~114 ppi density),Up to 5 h,microSDHC (dedicated slot),,,,,"2011, October. Released 2011, November",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-stubby-2.jpg,"2.0 inches, 12.6 cm2(~22.4% screen-to-body ratio)",Plum Stubby II,"SMS, MMS","Blue, Magenta, Orange, Green, Red",TFT,100 entries,Yes,100.6 x 56.2 x 12.5 mm (3.96 x 2.21 x 0.49 in),"32MB RAM, 32MB ROM",Proprietary,No,No,FM radio,,,Yes,Removable Li-Ion 800 mAh battery (BL-4C),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 400 h,Yes,Yes,Yes,,"TV applicationEbuddy, Facebook, Yahoo, TwitterCalendarMP4/3gp playerMP3 player",,Yes,QWERTY,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,90 g (3.17 oz),Mediatek MT6252,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,144 x 176 pixels (~114 ppi density),Up to 5 h,microSDHC (dedicated slot),"English, Spanish, Portuguese, French",,,,"2011, May. Released 2011, September",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-stryke.jpg,"2.0 inches, 12.6 cm2(~21.7% screen-to-body ratio)",Plum Strike,"SMS, MMS, Email","Black, white, red, blue, rose",TFT,500 entries,Yes,112 x 52 x 15 mm (4.41 x 2.05 x 0.59 in),"64MB ROM, 32MB RAM",microUSB,No,No,"FM radio, recording",,,Yes,Removable Li-Ion 800 mAh battery,,,No
No,,,,,Up to 600 h,Yes,Yes,Yes,,,,No,,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,65.7 g (2.29 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~226 ppi density)",Up to 5 h,microSDHC (dedicated slot),,,,,"2011, November. Released 2011, November",,GSM,"Facebook, Twitter, Yahoo, MSN, Skype applicationsMusic/video player",Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-profile.jpg,"1.77 inches, 9.7 cm2(~22.9% screen-to-body ratio)",Plum Profile,"SMS(threaded view), MMS","Orange, Red, Blue, Green, Purple, Black (with black and white)",TFT,200 entries,Yes,94.2 x 45 x 18.5 mm (3.71 x 1.77 x 0.73 in),"32MB ROM, 32MB RAM",Proprietary,No,No,FM radio,,,Yes,Removable Li-Ion 800 mAh battery (BL-4C),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,LED flash,,,VGA,Up to 116 h,Yes,Yes,Yes,,dedicated music keys2.5 mm audio jack,"MSN, Facebook, Yahoo, Twitter applicationsMP3/WAV playerMP4/H.263 playerOrganizer",No,,"Dual SIM (Mini-SIM, dual stand-by)",VGA,75 g (2.65 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 2 h 30 min,microSD (dedicated slot),"English, Spanish, Portuguise, French",,,,"2011, June. Released 2011, June",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-inspire.jpg,"2.4 inches, 17.8 cm2(~31.9% screen-to-body ratio)",Plum Inspire,"SMS, MMS, Email, IM","Black, white, orange, Magenta, light blue, dark red",TFT,300 entries,Yes,113.5 x 49.2 x 14.5 mm (4.47 x 1.94 x 0.57 in),32MB,microUSB,No,No,Stereo FM radio,,,Yes,Removable Li-Ion 700 mAh battery (BL-4U),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 150 h,Yes,Yes,Yes,,No,MP3/MP4 playerOrganizerCalculatorVoice memo,No,,"Dual SIM (Mini-SIM, dual stand-by)",VGA,65 g (2.29 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"240 x 320 pixels, 4:3 ratio (~226 ppi density)",Up to 1 h 20 min,microSDHC (dedicated slot),"English, Spanish, Portuguise, French",,,,"2011, April. Released 2011, April",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-spare.jpg,"1.77 inches, 9.7 cm2(~21.1% screen-to-body ratio)",Plum Spare,"SMS, MMS, Email","Black, dark red, dark blue, light blue, light red, purple, pink, green, orange, champagne",TFT,300 entries,Yes,102 x 45 x 13.6 mm (4.02 x 1.77 x 0.54 in),64MB 32MB,microUSB 2.0,No,No,FM radio,,,Yes,Removable Li-Ion 700 mAh battery (BL-5B),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 400 h,Yes,2.0,Yes,,No,"Ebuddy, Facebook, Yahoo, Twitter applicationsMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input",No,,Dual SIM (Mini-SIM),1.3 MP,85 g (3.00 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,128 x 160 pixels (~116 ppi density),Up to 4 h,microSDHC (dedicated slot),"English, Spanish, Portuguise, French",,,,"2011, April. Released 2011, April",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-boom.jpg,"1.77 inches, 9.9 cm2(~23.8% screen-to-body ratio)",Plum Boom,"SMS, MMS, Email, IM","Black, white, red, Orchid, Yellow, Dark Blue, Magenta, Coral, Green, Orange","TFT, 65K colors",500 entries,Class 10,100.2 x 41.3 x 15.3 mm (3.94 x 1.63 x 0.60 in),"64MB ROM, 32MB RAM",microUSB,No,No,Stereo FM radio,,,@10fps,Removable Li-Ion 800 mAh battery (BL-5C),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 300 h,Yes,"2.1, A2DP, EDR",Yes,,No,MP3/MP4 player,No,,"Dual SIM (Mini-SIM, dual stand-by)",VGA,95 g (3.35 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,128 x 160 pixels (~114 ppi density),Up to 2 h 30 min,microSD (dedicated slot),"English, Spanish, Portuguise, French",,,,"2011, May. Released 2011, May",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-snap.jpg,"1.8 inches, 10.2 cm2(~20.8% screen-to-body ratio)",Plum Snap,"SMS, MMS, Email","Black, Purple, Red, Magenta, Champagne, Apple Green","TFT, 65K colors",1000 entries,Class 12,107.5 x 45.5 x 14.5 mm (4.23 x 1.79 x 0.57 in),64MB 128 MB,microUSB,Class 6,No,"Stereo FM radio, recording",,,QCIF@10fps,Removable Li-Ion 650 mAh battery (BL-4C),,,No
Flashlight,,,,,Up to 200 h,Yes,Yes,Yes,,"Facebook, MSN, Ebuddy, YahooMP3/WAV/WMA playerMP4/H.263 playerOrganizerVoice memoCalculator",,No,,Dual SIM (Mini-SIM),1.3 MP,50.5 g (1.76 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~226 ppi density)",Up to 4 h,microSDHC (dedicated slot),,,,,"2012, February. Released 2012, August",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-buzz.jpg,"1.77 inches, 9.7 cm2(~19.3% screen-to-body ratio)",Plum Buzz,"SMS, MMS","Black, White, Red, Blue, Green, Purple",TFT,Yes,Yes,109.4 x 46 x 9.5 mm (4.31 x 1.81 x 0.37 in),,microUSB 2.0,No,No,FM radio,,,Yes,Removable Li-Ion 700 mAh battery,,,No
Flashlight,,,,,Up to 230 h,Yes,Yes,Yes,,MP3/WAV/WMA playerMP4/H.263 playerOrganizerVoice memo/dial,,No,,Dual SIM (Mini-SIM),1.3 MP,50.5 g (1.76 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~226 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,,,"2012, August. Released 2012, September",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-tweek.jpg,"1.77 inches, 9.7 cm2(~21.2% screen-to-body ratio)",Plum Tweek,"SMS, MMS","Black, White, Red, Blue, Green, Purple",TFT,Yes,Yes,104 x 44 x 14.8 mm (4.09 x 1.73 x 0.58 in),"32MB ROM, 16MB RAM",microUSB 2.0,No,No,FM radio,,,Yes,Removable Li-Ion 800 mAh battery (BL-5B),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 300 h,Yes,No,Yes,,No,MP3 playerOrganizer,No,,"Dual SIM (Mini-SIM, dual stand-by)",,69 g (2.43 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,128 x 160 pixels (~116 ppi density),Up to 3 h,microSDHC (dedicated slot),"English, Spanish, Portuguese, French",,,,"2011, August. Released 2011, August",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-kazzom.jpg,"1.77 inches, 9.9 cm2(~22.5% screen-to-body ratio)",Plum Kazzom,SMS,"Blue, Purple, Orange, Yellow, Orchid, Green ,White","TFT, 65K colors",250 entries,No,102 x 43 x 14.6 mm (4.02 x 1.69 x 0.57 in),"128MB ROM, 32MB RAM",No,No,No,FM radio,,,,Removable Li-Ion 600 mAh battery (BL-4C),,,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,,Up to 250 h,Yes,Yes,Yes,,No,MP3/MP4 player,No,,"Dual SIM (Mini-SIM, dual stand-by)",1.3 MP,50.5 g (1.76 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,"240 x 320 pixels, 4:3 ratio (~226 ppi density)",Up to 4 h,microSDHC (dedicated slot),,,,,"2011, September. Released 2011, September",,GSM,Flashlight,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-trip.jpg,"1.77 inches, 9.7 cm2(~21.3% screen-to-body ratio)",Plum Trip,"SMS, MMS","White, white black, white purple, white red, white blue, black orange, black red, black yellow, blac",TFT,300 entries,Yes,104 x 43.8 x 16.7 mm (4.09 x 1.72 x 0.66 in),32MB 32MB,microUSB 2.0,No,No,FM radio,,,Yes,Removable Li-Ion 700 mAh battery (BL-5B),,,No
Flashlight,,,,,Up to 300 h,Yes,No,Yes,,"MSN, Facebook, Yahoo, TwitterOrganizerMP3 playerVideo playerVoice memo",,No,,"Dual SIM (Mini-SIM, dual stand-by)",,66 g (2.33 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,128 x 160 pixels (~116 ppi density),Up to 4 h,microSDHC (dedicated slot),"English, Spanish, Portuguese, French",,,,"2011, June. Released 2011, June",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-trion.jpg,"1.77 inches, 9.9 cm2(~20.4% screen-to-body ratio)",Plum Trion,SMS,"Blue, Purple, Orange, Yellow, Orchid, Green, White, Red, Lime, Light Blue","TFT, 65K colors",250 entries,No,107.6 x 44.9 x 14.4 mm (4.24 x 1.77 x 0.57 in),"32MB ROM, 16MB RAM",microUSB,No,No,FM radio,,,,Removable Li-Ion 700 mAh battery (BL-5B),,,No
Flashlight,,,,,Up to 230 h,Yes,No,Yes,,MP3/WAV/WMA playerMP4/H.263 playerOrganizerVoice memo/dial,,No,,Dual SIM (Mini-SIM),,50.5 g (1.76 oz),,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"120 x 160 pixels, 4:3 ratio (~113 ppi density)",Up to 6 h,microSDHC (dedicated slot),,,,,"2012, August. Released 2012, August",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-bubby.jpg,"1.77 inches, 9.7 cm2(~21.2% screen-to-body ratio)",Plum Bubby,SMS,"Black, White, Red, Blue",TFT,Yes,No,104 x 44 x 14.8 mm (4.09 x 1.73 x 0.58 in),"32MB ROM, 16MB RAM",microUSB 2.0,No,No,FM radio,,,,Removable Li-Ion 700 mAh battery,,,No
