,Resolution,Alert types,Talk time_1,Price,Display,Type_1,Talk time,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Features_1,Single_1,Music play,Brand,_6,Protection,Browser,Radio,Audio quality,Performance,CPU,_4,Stand-by_1,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,_7,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Battery (old),USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,SAR EU,Dual,Colors,4G bands,WLAN,Positioning,NFC,Keyboard,Models,2G bands,Features,_5,Dimensions,SAR
Wallpapers,240 x 260 pixels (~161 ppi density),"Vibration; Downloadable polyphonic, MP3 ringtones",,About 200 EUR,,Removable Li-Ion 900 mAh battery,Up to 3 h 30 min,No,"Document viewer (Word, Excel, PowerPoint, PDF)Media playerSureType keyboard softwareOrganizer",,microSD (dedicated slot),,,GSM,"2006, September",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,32-bit Intel XScale PXA272 312 MHz,,,,Yes,Up to 360 h,89.5 g (3.14 oz),,Mini-SIM,64MB,1.3 MP,,,"2.2 inches, 15.6 cm2(~29.1% screen-to-body ratio)",No,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-8100.gif,,Proprietary,,Yes,BlackBerry Pearl 8100,,,Yes,2.0,,,"Black, White, Red",,No,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,107 x 50 x 14.5 mm (4.21 x 1.97 x 0.57 in),
Wallpapers,240 x 260 pixels (~147 ppi density),"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Removable Li-Ion 1100 mAh battery (C-S2),Up to 4 h,,"Document viewer (Word, Excel, PowerPoint, PDF)SureType keyboard softwareOrganizer",,No,,,GSM,"2006, June",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,Intel XScale 312 MHz,,,,Yes,Up to 430 h,120 g (4.23 oz),,Mini-SIM,64MB 16MB RAM,,,,"2.4 inches, 18.5 cm2(~28.8% screen-to-body ratio)",No,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-7130g.gif,,Proprietary,,Yes,BlackBerry 7130g,,,Yes,2.0,,,,,No,No,,,,GSM 850 / 900 / 1800 / 1900,,,115 x 56 x 18 mm (4.53 x 2.20 x 0.71 in),
Wallpapers,240 x 260 pixels (~147 ppi density),"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Removable Li-Ion 1100 mAh battery (C-S2),Up to 4 h,,"Document viewer (Word, Excel, Powerpoint, PDF)SureType keyboard softwareOrganizer",,No,,,GSM,"2006, June",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,Intel XScale 312 MHz,,,,Yes,Up to 430 h,120 g (4.23 oz),,Mini-SIM,64MB 16MB RAM,,,,"2.4 inches, 18.5 cm2(~28.8% screen-to-body ratio)",No,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-7130c.gif,,Proprietary,,Yes,BlackBerry 7130c,,,Yes,2.0,,,,,No,No,,,,GSM 850 / 900 / 1800 / 1900,,,115 x 56 x 18 mm (4.53 x 2.20 x 0.71 in),
Wallpapers,240 x 260 pixels (~147 ppi density),"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Removable Li-Ion 1100 mAh battery (C-S2),Up to 4 h,,"Document viewer (Word, Excel, PowerPoint, PDF)SureType keyboard softwareOrganizer",,No,,,GSM,"2006, June",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,Intel XScale 312 MHz,,,,Yes,Up to 430 h,120 g (4.23 oz),,Mini-SIM,64MB 16MB RAM,,,,"2.4 inches, 18.5 cm2(~28.8% screen-to-body ratio)",No,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-7130v.gif,,Proprietary,,Yes,BlackBerry 7130v,,,Yes,2.0,,,,,No,No,,,,GSM 850 / 900 / 1800 / 1900,,,115 x 56 x 18 mm (4.53 x 2.20 x 0.71 in),
No,"320 x 240 pixels, 4:3 ratio (~154 ppi density)","Vibration; Polyphonic, MP3 ringtones",,,,Removable Li-Ion 1500 mAh battery (C-S2),Up to 4 h,,,,No,,,GSM / UMTS,"2006, May",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,Intel PXA901 312 MHz,,,,,Up to 400 h,139 g (4.90 oz),,Mini-SIM,64MB 16MB RAM,,,,"2.6 inches, 20.9 cm2(~27.4% screen-to-body ratio)",No,"OrganizerDocument viewer (Word, Excel, PowerPoint, PDF)",,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-8707v.gif,,miniUSB,,,BlackBerry 8707v,UMTS 2100,"Yes, 384 kbps",Yes,2.0,,,Silver,,No,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,110 x 69.5 x 19.5 mm (4.33 x 2.74 x 0.77 in),
No,"320 x 240 pixels, 4:3 ratio (~154 ppi density)","Vibration; Polyphonic, MP3 ringtones",,,,Removable Li-Ion 1100 mAh battery,Up to 4 h,,,,No,,,GSM,"2004, Q4",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,Intel PXA901 312 MHz,,,,Yes,Up to 450 h,134 g (4.73 oz),,Mini-SIM,64MB 16MB RAM,,,,"2.6 inches, 20.9 cm2(~27.4% screen-to-body ratio)",No,Organizer,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-8700c.gif,,Proprietary,,Yes,BlackBerry 8700c,,,Yes,Yes,,,,,No,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,110 x 69.5 x 19.5 mm (4.33 x 2.74 x 0.77 in),
Wallpapers,240 x 260 pixels (~161 ppi density),Vibration; Downloadable polyphonic ringtones,,,,Removable Li-Ion battery,Up to 4 h,,No,,No,,,GSM,"2005, Q1",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,No,Up to 190 h,120 g (4.23 oz),,Mini-SIM,32MB 4MB RAM,,Organizer,,"2.2 inches, 15.6 cm2(~24.4% screen-to-body ratio)",No,32 MB flash memory4 MB SRAM,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb7100x.gif,,Proprietary,,Yes,BlackBerry 7100x,,,Yes,Yes,,,,,No,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,114 x 56 x 20 mm (4.49 x 2.20 x 0.79 in),
Wallpapers,240 x 260 pixels (~150 ppi density),Vibration; Downloadable polyphonic ringtones,,,,Removable Li-Ion battery,Up to 5 h,,Organizer,,No,,,GSM,"2004, Q4",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,No,Up to 200 h,120 g (4.23 oz),,Mini-SIM,32MB 4MB RAM,,,,"2.36 inches, 17.9 cm2(~25.9% screen-to-body ratio)",No,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb7100t.gif,,Proprietary,,Yes,BlackBerry 7100t,,,Yes,Yes,,,,,No,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,119 x 58 x 19 mm (4.69 x 2.28 x 0.75 in),
Wallpapers,240 x 260 pixels (~149 ppi density),Vibration; Downloadable polyphonic ringtones,,,,Removable Li-Ion battery,Up to 5 h,,No,,No,,,GSM,"2004, Q4",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,No,Up to 200 h,120 g (4.23 oz),,Mini-SIM,32MB 4MB RAM,,Organizer,,"2.37 inches, 18.1 cm2(~28.3% screen-to-body ratio)",No,32 MB flash memory4 MB SRAM,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb7100v.gif,,Proprietary,,Yes,BlackBerry 7100v,,,Yes,Yes,,,,,No,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,114 x 56 x 20 mm (4.49 x 2.20 x 0.79 in),
No,"240 x 160 pixels, 3:2 ratio (~111 ppi density)",Vibration; Monophonic ringtones,,,,Removable Li-Ion battery,Up to 4 h,,,,No,,,GSM,"2004, Q4",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,No,Up to 210 h,139 g (4.90 oz),,Mini-SIM,32MB 4MB RAM,,,,"2.6 inches, 20.1 cm2(~23.9% screen-to-body ratio)",No,Organizer,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-7290.gif,,Proprietary,,Yes,BlackBerry 7290,,,No,Yes,,,"Cosmos Black, Satin Blue, Steel Blue",,No,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,113 x 74.5 x 22 mm (4.45 x 2.93 x 0.87 in),
No,"240 x 240 pixels, 1:1 ratio (~113 ppi density)",Vibration; Monophonic ringtones,,,,Removable Li-Ion battery,Up to 5 h,,,,No,,,GSM,"2004, Q1",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,No,Up to 200 h,142 g (5.01 oz),,Mini-SIM,16MB 2MB RAM,,,,"3.0 inches, 29.0 cm2(~31.2% screen-to-body ratio)",No,Organizer,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb7730.gif,,Proprietary,,Yes,BlackBerry 7730,,,Yes,No,,,,,No,No,,QWERTY,,GSM 900 / 1800 / 1900,,,121 x 77 x 18 mm (4.76 x 3.03 x 0.71 in),
No,"240 x 160 pixels, 3:2 ratio (~111 ppi density)",Vibration; Monophonic ringtones,,About 110 EUR,,Removable Li-Ion battery,Up to 5 h,,,,No,,,GSM,"2003, Q3",65K colors,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,No,Up to 240 h,136 g (4.80 oz),,Mini-SIM,16MB 1MB RAM,,,,"2.6 inches, 20.1 cm2(~24.1% screen-to-body ratio)",No,Organizer,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb7230.gif,,Proprietary,,Yes,BlackBerry 7230,,,Yes,No,,,,,No,No,,QWERTY,,GSM 900 / 1800 / 1900,,,113 x 74 x 20 mm (4.45 x 2.91 x 0.79 in),
No,"160 x 160 pixels, 1:1 ratio (~75 ppi density)",Vibration; Monophonic ringtones,,,,Removable Li-Ion battery,Up to 4 h,,,,No,,,GSM,"2003, Q2",Monochrome,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,No,Up to 240 h,138 g (4.87 oz),,Mini-SIM,16MB 1MB RAM,,,,"3.0 inches, 29.0 cm2(~31.2% screen-to-body ratio)",No,Organizer,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb6720.gif,,Proprietary,,,BlackBerry 6720,,,Yes,No,,,,,No,No,,QWERTY,,GSM 900 / 1800,,,121 x 77 x 18 mm (4.76 x 3.03 x 0.71 in),
No,,Vibration; Monophonic ringtones,,,,Removable Li-Ion battery,Up to 5 h,,,,No,,,GSM,"2003, Q2",Monochrome,BlackBerry OS,,,,BlackBerry,,,HTML,No,,,,,,,No,Up to 380 h,136 g (4.80 oz),,Mini-SIM,16MB 1MB RAM,,,,2.6 inches,No,Organize,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb6230.gif,,Proprietary,,,BlackBerry 6230,,,Yes,No,,,,,No,No,,QWERTY,,GSM 900 / 1800 / 1900,,,113 x 75 x 20 mm (4.45 x 2.95 x 0.79 in),
MP3/WAV/eAAC+/WMA/Flac playerMP4/H.264/WMV playerPhoto/video editorDocument viewer,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,,"Li-Ion 2800 mAh, non-removable",,1080p@30fps,,Adreno 225,microSDHC (dedicated slot),Qualcomm MSM8960 Snapdragon S4 Plus,,GSM / HSPA / LTE,,IPS LCD,BlackBerry OS 10.3,,2 MP,,BlackBerry,,,,FM radio,,,Dual-core 1.5 GHz Krait,,,,,,-,,Yes,16GB 2GB RAM,"8 MP, AF",,,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)",Yes,,,,Cancelled,https://fdn2.gsmarena.com/vv/bigpic/blackberry-z20r.jpg,,microUSB 2.0,"Accelerometer, proximity",,BlackBerry Z20,HSDPA 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.0, A2DP",,,"Black, White",LTE,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",GPS,No,,,GSM 850 / 900 / 1800 / 1900,LED flash,,9.5 mm thickness,
CDMA 800 / 1900 - for Verizon,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,,"Li-Ion 2800 mAh, removable",,1080p@30fps,HDMI portBlackBerry mapsOrganizerDocument viewerPhoto viewerMP3/WMA/WAV/eAAC+/FlAC playerDivX/XviD/MP4/WMV/H.264 playerVoice memo/dialPredictive text input,Adreno 225,microSDXC (dedicated slot),Qualcomm MSM8960Pro Snapdragon S4 Pro,,GSM / CDMA / HSPA / EVDO / LTE,,IPS LCD,BlackBerry OS 10.2,,2 MP,,BlackBerry,,,,No,,,Dual-core 1.7 GHz Krait,,,720p@30fps,Yes,,-,,Micro-SIM,16GB 2GB RAM,"8 MP, AF",,,"5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",Yes,CDMA2000 1xEV-DO - for Verizon,,,Cancelled,https://fdn2.gsmarena.com/vv/bigpic/blackberry-a10.jpg,,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Yes,BlackBerry A10,HSDPA,"HSPA 21.1/5.76 Mbps, LTE, EV-DO Rev.A 3.1 Mbps",Yes,"4.0, A2DP, LE",,,Black,LTE - all versions,"Wi-Fi 802.11 a/b/g/n, dual band, DLNA",GPS,Yes,,,GSM 850 / 900 / 1800 / 1900,LED flash,,140.7 x 72 x 9.4 mm (5.54 x 2.83 x 0.37 in),
Optical trackpad,"640 x 480 pixels, 4:3 ratio (~286 ppi density)",,,,,Removable Li-Ion 1000 mAh battery,,720p,MP3/eAAC+/Flac/WAV playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,Adreno 205,microSDHC (dedicated slot),Qualcomm MSM8655 Snapdragon S2,,CDMA / EVDO,Not officially announced yet,TFT,BlackBerry OS 7.0,,,,BlackBerry,,,,No,,,1.2 GHz,,,,,,155 g (5.47 oz),,Mini-SIM,8GB 768MB RAM,"5 MP, AF",,,"2.8 inches, 24.3 cm2(~31.5% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-porsche-design-p9531.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",,BlackBerry Porsche Design P'9531,CDMA2000 1xEV-DO,EV-DO Rev.A 3.1 Mbps,Yes,"2.1, A2DP, EDR",,,Black,,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",Yes,QWERTY,,CDMA 800 / 1900,LED flash,,115 x 67 x 11.3 mm (4.53 x 2.64 x 0.44 in),
Micro HDMI portDocument viewerMedia player MP3/WMA/AAC+Video player DivX/WMV/XviD/3gpOrganizerPredictive text input,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,,,Non-removable Li-Po 4800 mAh battery,Up to 10 h (multimedia),1080p@30fps,,,No,TI OMAP 4460,,GSM / HSPA,Not officially announced yet,TFT,BlackBerry Tablet 2.0,,3 MP,,BlackBerry,,,,No,,,Dual-core 1.5 GHz,,,1080p@30fps,,,425 g (14.99 oz),,Micro-SIM,,"5 MP, AF",,,"7.0 inches, 137.9 cm2(~54.7% screen-to-body ratio)",Yes,,,,Cancelled,https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook-2012.jpg,,microUSB 2.0,"Accelerometer, gyro, compass",,BlackBerry Playbook 2012,HSDPA 850 / 900 / 1700 / 1900 / 2100,HSPA 42.2/5.76 Mbps,"Yes, with stereo speakers","2.1, EDR",,,Black,,"Wi-Fi 802.11 a/b/g/n, dual-band","GPS, A-GPS",Yes,,,GSM 850 / 900 / 1800 / 1900,,,194 x 130 x 10 mm (7.64 x 5.12 x 0.39 in),
Optical trackpad,"480 x 360 pixels, 4:3 ratio (~185 ppi density)",,,,,Removable Li-Ion battery,,720p,MP3/eAAC+/WMA/WAV playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input,Adreno 205,microSDHC (dedicated slot),Qualcomm MSM8655 Snapdragon S2,,GSM / HSPA,Not officially announced yet,TFT,BlackBerry OS 6.1,,,,BlackBerry,,,HTML,No,,,800 MHz Scorpion,,,,,,-,,Mini-SIM,"1GB ROM, 512MB RAM",5 MP,,,"3.25 inches, 32.7 cm2",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-touch-gsm.jpg,,microUSB 2.0,Accelerometer,,BlackBerry Curve Touch,HSDPA 850 / 900 / 1900 / 2100,HSPA,Yes,"2.1, A2DP",,,Black,,Wi-Fi 802.11b/g/n,"GPS, A-GPS",Yes,,,GSM 850 / 900 / 1800 / 1900,LED flash,,-,
Optical trackpad,"480 x 360 pixels, 4:3 ratio (~185 ppi density)",,,,,Removable Li-Ion battery,,720p,MP3/eAAC+/WMA/WAV playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input,Adreno 205,microSDHC (dedicated slot),Qualcomm MSM8655 Snapdragon S2,,CDMA / EVDO,Not officially announced yet,TFT,BlackBerry OS 6.1,,,,BlackBerry,,,HTML,No,,,800 MHz Scorpion,,,,,,-,,Mini-SIM,"1GB ROM, 512MB RAM",5 MP,,,"3.25 inches, 32.7 cm2",Yes,No,,,Cancelled,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-touch.jpg,,microUSB 2.0,Accelerometer,,BlackBerry Curve Touch CDMA,CDMA2000 1xEV-DO,EV-DO Rev.A 3.1 Mbps,Yes,"2.1, A2DP",,,Black,,Wi-Fi 802.11b/g/n,,Yes,,,CDMA 800 / 1900,LED flash,,-,
