,Card slot,Battery (new),Triple,Charging,Size,256GB 16GB RAM,1TB 24GB RAM,32GB 2GB RAM,Bluetooth,OS,5G bands,Features_1,Video,256GB 8GB RAM,_10,2G bands,Announced,64GB 4GB RAM,Model Image,Dimensions,Models,256GB 12GB RAM,Resolution,WLAN,Chipset,Audio quality,Protection,Video_1,_3,_6,GPU,GPRS,EDGE,128GB 4GB RAM,USB,Sensors,Speed,NFC,SAR EU,Performance,SAR,Weight,128GB 6GB RAM,Quad,SIM,_1,_4,Features,Dual,Brand,Display,Type,Single_1,_8,Loudspeaker,_5,Technology,_7,Battery (old),Infrared port,Camera,3.5mm jack,Single,Colors,128GB 8GB RAM,Internal,_2,Radio,3G bands,Build,Loudspeaker_1,_9,CPU,Positioning,Status,Type_1,4G bands,Model Name,512GB 16GB RAM,Price
CDMA 800,No,,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",150W wired,"6.7 inches, 108.0 cm2(~87.9% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 12, ColorOS 12.1","1, 3, 5, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA",HDR,"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2022, August 09",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-10t-5g.jpg,163 x 75.4 x 8.8 mm (6.42 x 2.97 x 0.35 in),PGP110,,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),,Corning Gorilla Glass 5,1080p@30fps,,,Adreno 730,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE, 5G",Yes,,,,203.5 g (7.20 oz),,,Nano-SIM + Nano-SIM,UFS 3.1,,"Color spectrum sensor, Dual-LED flash, HDR, panorama",,OnePlus,,"Fluid AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 950 nits (peak)",,,"Yes, with stereo speakers",,GSM / CDMA / HSPA / LTE / 5G,,,,,No,"16 MP, f/2.4, 24mm (wide), 1/3"", 1.0µm","Moonstone Black, Jade Green, Genshin Impact",,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass 5), plastic frame, glass back",,,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Available. Released 2022, August 15",Li-Po 4800 mAh,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41",OnePlus Ace Pro,,About 500 EUR
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,microSDXC,,,"33W wired, 50% in 34 min, 100% in 69 min","6.56 inches, 103.4 cm2(~84.2% screen-to-body ratio)",,,,"5.3, A2DP, LE, aptX HD","Android 12, OxygenOS 12.1",,,1080p@30fps,,,GSM 850 / 900 / 1800 / 1900,"2022, August 05",$ 389.00,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n20-se.jpg,163.8 x 75 x 8 mm (6.45 x 2.95 x 0.31 in),CPH2469,,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Mediatek MT6765G Helio G35 (12 nm),,,1080p@30fps,,,PowerVR GE8320,,,$ 159.99,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","HSPA, LTE",No,,,,187 g (6.60 oz),,,Nano-SIM + Nano-SIM,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 26, 28, 38, 41, 66 - LATAM",,"LED flash, HDR, panorama","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (depth)",OnePlus,,"IPS LCD, 480 nits (typ), 600 nits (HBM)",,,"Yes, with dual speakers",,GSM / HSPA / LTE,,,,,Yes,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm","Blue Oasis, Celestial Black",,"64GB 4GB RAM, 128GB 4GB RAM",eMMC 5.1,No,HSDPA 850 / 900 / 2100 - Global,"Glass front, plastic frame, plastic back",,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"GPS, GLONASS, BDS, GALILEO, QZSS","Available. Released 2022, August 08",Li-Po 5000 mAh,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global",OnePlus Nord N20 SE,,"$ 159.99 / ₹ 10,990"
"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - India",No,,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",150W wired (125W for 110V sockets),"6.7 inches, 108.0 cm2(~87.9% screen-to-body ratio)",€ 408.18,,,"5.2, A2DP, LE, aptX HD","Android 12, OxygenOS 13","1, 2, 3, 5, 7, 8, 20, 25, 28, 30, 38, 41, 48, 66, 71, 77 SA/NSA - International",HDR,"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2022, August 03",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-10t-5g.jpg,163 x 75.4 x 8.8 mm (6.42 x 2.97 x 0.35 in),"CPH2415, CPH2413, CPH2417, CPH2419","₹ 28,999","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),,Corning Gorilla Glass 5,1080p@30fps,24-bit/192kHz Hi-Res audio,,Adreno 730,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (4CA), Cat20 2000/200 Mbps, 5GHSPA 42.2/5.76 Mbps, LTE (3CA), Cat16 1000/150 Mbps, 5G - India",Yes,,AnTuTu: 1016958 (v9)GeekBench: 3907 (v5.1)GFXBench: 103fps (ES 3.1 onscreen),,204 g (7.20 oz),,,Nano-SIM + Nano-SIM,"1, 3, 5, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - India",,"Color spectrum sensor, Dual-LED flash, HDR, panorama",,OnePlus,819 nits max brightness (measured),"Fluid AMOLED, 1B colors, 120Hz, HDR10+",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,Endurance rating 96h,,Photo/Video,No,"16 MP, f/2.4, 24mm (wide), 1/3"", 1.0µm","Moonstone Black, Jade Green",€ 275.00,"128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM",UFS 3.1,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass 5), plastic frame, glass back (Gorilla Glass 5)",-24.7 LUFS (Very good),,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Available. Released 2022, August 06",Li-Po 4800 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 41, 46, 48, 66, 71 - International",OnePlus 10T,,"€ 275.00 / $ 276.71 / £ 246.36 / ₹ 25,999"
UFS 3.1,No,,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 120˚ (ultrawide)2 MP, f/2.2, (depth)","80W wired, PD","6.43 inches, 99.8 cm2(~85.7% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 12, upgradable to Android 14, OxygenOS 14","1, 3, 7, 8, 20, 28, 38, 41, 78 SA/NSA",Auto HDR,"4K@30fps, 1080p@30/60/120/480fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2022, May 19",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-2t.jpg,159.1 x 73.2 x 8.2 mm (6.26 x 2.88 x 0.32 in),"CPH2399, CPH2401",€ 229.05,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Mediatek Dimensity 1300 (6 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS",,,Mali-G77 MC9,,,,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps, 5G",Yes,,AnTuTu: 490545 (v8) | 604467 (v9)GeekBench: 2790 (v5.1)GFXBench: 40fps (ES 3.1 onscreen),,190 g (6.70 oz),,,Nano-SIM + Nano-SIM,,,"Dual-LED flash, HDR, panorama",,OnePlus,636 nits max brightness (measured),"AMOLED, 90Hz, HDR10+",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,Endurance rating 100h,,Photo/Video,No,"32 MP, f/2.4, (wide), 1/2.8"", 0.8µm","Gray Shadow, Jade Fog",€ 179.99,"128GB 8GB RAM, 256GB 12GB RAM",,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"Glass front (Gorilla Glass 5), plastic frame",-25.6 LUFS (Very good),,Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS, NavIC","Available. Released 2022, May 21",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66",OnePlus Nord 2T,,"€ 179.99 / $ 299.99 / £ 125.00 / ₹ 28,999"
CDMA 800,No,,"64 MP, f/1.7, 25mm (wide), PDAF8 MP, f/2.2, 15mm, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)","67W wired, 80% in 29 min","6.59 inches, 104.5 cm2(~83.9% screen-to-body ratio)",,,,"5.3, A2DP, LE, aptX HD","Android 12, ColorOS 12.1","1, 3, 5, 8, 28, 41, 77, 78 SA/NSA",HDR,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2022, May 17",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-race.jpg,164.3 x 75.8 x 8.7 mm (6.47 x 2.98 x 0.34 in),PGZ110,,"1080 x 2412 pixels, 20:9 ratio (~401 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Mediatek Dimensity 8100 Max (5 nm),,,"1080p@30fps, gyro-EIS",,,Mali-G610 MC6,,,,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","HSPA, LTE, 5G",Yes,,,,205 g (7.23 oz),,,Nano-SIM + Nano-SIM,CDMA2000 1x,,"LED flash, HDR, panorama",,OnePlus,,"IPS LCD, 120Hz, 480 nits (typ), 600 (HBM)",,,"Yes, with stereo speakers",,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,,,,Yes,"16 MP, f/2.1, 26mm (wide), 1/3.09"", 1.0µm","Black, Blue",,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS, QZSS","Available. Released 2022, May 31",Li-Po 5000 mAh,"1, 3, 4, 5, 7, 8, 18, 19, 28, 34, 38, 39, 40, 41",OnePlus Ace Racing,,About 280 EUR
Always-on display,microSDXC (dedicated slot),,"64 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",33W wired,"6.43 inches, 99.8 cm2(~85.3% screen-to-body ratio)",,,,"5.1, A2DP, LE","Android 11, OxygenOS 11","2, 25, 41, 66, 71 SA/NSA",HDR,1080p@30fps,,,GSM 850 / 900 / 1800 / 1900,"2022, April 28",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n20-5g-.jpg,159.9 x 73.2 x 7.5 mm (6.30 x 2.88 x 0.30 in),"GN2200, CPH2459",,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Qualcomm SM6375 Snapdragon 695 5G (6 nm),,Schott Xensation Up,1080p@30fps,,,Adreno 619,,,,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","HSPA 42.2/5.76 Mbps, LTE Cat15 800/200 Mbps, 5G",Yes,,"AnTuTu: 316974 (v8), 380672 (v9)GeekBench: 1945 (v5.1)GFXBench: 16fps (ES 3.1 onscreen)",,173 g (6.10 oz),$ 199.99,,Nano-SIM,UFS 2.2,,"LED flash, HDR, panorama",,OnePlus,647 nits max brightness (measured),AMOLED,,,Yes,,GSM / HSPA / LTE / 5G,,Endurance rating 129h,,,Yes,"16 MP, f/2.4, (wide)",Blue,,128GB 6GB RAM,,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Schott Xensation Up), plastic frame, plastic back",,,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"GPS (L1+L5), GLONASS, GALILEO, BDS","Available. Released 2022, April 28",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71",OnePlus Nord N20 5G,,$ 199.99
UFS 3.1,No,,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)","150W wired, 30% in 3 min, 100% in 17 min","6.7 inches, 108.0 cm2(~87.6% screen-to-body ratio)",,,,"5.2, A2DP, LE","Android 12, upgradable to Android 13, OxygenOS 13","1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA",HDR,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2022, April 28",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-10r.jpg,163.3 x 75.5 x 8.2 mm (6.43 x 2.97 x 0.32 in),,,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Mediatek Dimensity 8100 Max (5 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS",,,Mali-G610 MC6,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (4CA), Cat12 600/150 Mbps, 5G",Yes,,AnTuTu: 801224 (v9)GeekBench: 3822 (v5)GFXBench: 49fps (ES 3.1 onscreen),0.95 W/kg (head)     0.96 W/kg (body),186 g (6.56 oz),,,Nano-SIM + Nano-SIM,24-bit/192kHz Hi-Res audio,,"Color spectrum sensor, LED flash, HDR, panorama",,OnePlus,,"Fluid AMOLED, 1B colors, 120Hz, HDR10+",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,,,,No,"16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm","Sierra Black, Forest Green",,256GB 12GB RAM,,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass 5), plastic frame, plastic back",,,Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)","Available. Released 2022, May 04",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",OnePlus 10R 150W,,About 340 EUR
UFS 3.1,No,,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)","80W wired, 100% in 32 min","6.7 inches, 108.0 cm2(~87.6% screen-to-body ratio)",,,,"5.2, A2DP, LE","Android 12, upgradable to Android 13, OxygenOS 13","1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA",HDR,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2022, April 28",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-10r.jpg,163.3 x 75.5 x 8.2 mm (6.43 x 2.97 x 0.32 in),CPH2411,"₹ 18,599","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Mediatek Dimensity 8100 Max (5 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS",,,Mali-G610 MC6,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA 42.2/5.76 Mbps, LTE (4CA), Cat12 600/150 Mbps, 5G",Yes,,,0.95 W/kg (head)     0.96 W/kg (body),186 g (6.56 oz),,,Nano-SIM + Nano-SIM,24-bit/192kHz Hi-Res audio,,"Color spectrum sensor, LED flash, HDR, panorama",,OnePlus,,"Fluid AMOLED, 1B colors, 120Hz, HDR10+",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,,,,No,"16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm","Sierra Black, Forest Green, Prime Blue","₹ 17,599","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass 5), plastic frame, plastic back",,,Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)","Available. Released 2022, May 04",Li-Po 5000 mAh,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",OnePlus 10R,,"₹ 17,599"
"1, 3, 4, 5, 7, 8, 19, 28, 34, 38, 39, 40, 41 - India",microSDXC (uses shared SIM slot),,"64 MP, f/1.7, 26mm (wide), 0.7µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",33W wired,"6.59 inches, 104.5 cm2(~84.1% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 12, upgradable to Android 13, OxygenOS 13","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - Europe",HDR,1080p@30fps,,,GSM 850 / 900 / 1800 / 1900,"2022, April 28",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-2-lite-5g-0.jpg,164.3 x 75.6 x 8.5 mm (6.47 x 2.98 x 0.33 in),"CPH2381, CPH2409",,"1080 x 2412 pixels, 20:9 ratio (~401 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Qualcomm SM6375 Snapdragon 695 5G (6 nm),,,1080p@30fps,,,Adreno 619,,,,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","HSPA, LTE (CA), 5G",Yes (market/region dependent),,AnTuTu: 399306 (v9)GeekBench: 1956 (v5)GFXBench: 17fps (ES 3.1 onscreen),1.19 W/kg (head)     0.71 W/kg (body),195 g (6.88 oz),€ 259.99,,Nano-SIM + Nano-SIM,"1, 28, 41, 77, 78 SA/NSA - India",,"LED flash, HDR, panorama",,OnePlus,,"IPS LCD, 120Hz",,,Yes,,GSM / HSPA / LTE / 5G,,,,,Yes,"16 MP, f/2.0, (wide), 1/3.0"", 1.0µm","Black Dusk, Blue Tide",,"128GB 6GB RAM, 128GB 8GB RAM",UFS 2.2,Unspecified,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front, plastic frame, plastic back",,,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"GPS, GLONASS, GALILEO, BDS, QZSS","Available. Released 2022, April 30",Li-Po 5000 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - Europe",OnePlus Nord CE 2 Lite 5G,,"€ 259.99 / £ 205.74 / ₹ 12,499"
CDMA 800,No,,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)","150W wired, 50% in 5 min","6.7 inches, 108.0 cm2(~87.6% screen-to-body ratio)",,,,"5.2, A2DP, LE","Android 12, ColorOS 12.1","1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA",HDR,"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS",,,GSM 850 / 900 / 1800 / 1900,"2022, April 21",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace.jpg,163.3 x 75.5 x 8.2 mm (6.43 x 2.97 x 0.32 in),PGKM10,,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Mediatek Dimensity 8100 Max (5 nm),,Corning Gorilla Glass 5,"1080p@30fps, gyro-EIS",,,Mali-G610 MC6,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE, 5G",Yes,,,,186 g (6.56 oz),,,Nano-SIM + Nano-SIM,CDMA2000 1xEV-DO,,"Color spectrum sensor, LED flash, HDR, panorama",,OnePlus,,"OLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 950 nits (peak)",,,"Yes, with stereo speakers",,GSM / CDMA / HSPA / EVDO / LTE / 5G,,,,,No,"16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm","Black, Blue",,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 3.1,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass 5), plastic frame",,,Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS","Available. Released 2022, April 26",Li-Po 4500 mAh,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",OnePlus Ace,,About 360 EUR
CDMA 800,No,,"48 MP, f/1.8, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, OIS8 MP, f/2.4, 77mm (telephoto), 1.0µm, PDAF, OIS, 3.3x optical zoom50 MP, f/2.2, 14mm, 150˚ (ultrawide), 1/2.76"", 0.64µm","80W wired, PD, 100% in 32 min (International)65W wired, PD, 58% in 15 min (North America)50W wirelessReverse wireless","6.7 inches, 108.4 cm2(~90.0% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 12, upgradable to Android 14, OxygenOS 14 (International), ColorOS (China)","1, 2, 3, 5, 7, 8, 20, 25, 28, 30, 38, 40, 41, 48, 66, 71, 77, 78 SA/NSA - International",HDR,"8K@24fps, 4K@30/60/120fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS",$ 750.00,24-bit/192kHz Hi-Res audio,GSM 850 / 900 / 1800 / 1900,"2022, January 11",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-10-pro.jpg,163 x 73.9 x 8.6 mm (6.42 x 2.91 x 0.34 in),"NE2210, NE2211, NE2213, NE2215, NE2217",€ 375.05,"1440 x 3216 pixels, 20:9 ratio (~525 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),,Corning Gorilla Glass Victus,"1080p@30fps, gyro-EIS","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - China, India","1, 3, 5, 8, 28, 40, 41, 78, 79 SA/NSA - India",Adreno 730,,,,"USB Type-C 3.1, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","HSPA 42.2/5.76 Mbps, LTE (4CA) Cat18 1200/200 Mbps, 5G",Yes,,AnTuTu: 886248 (v9)GeekBench: 3447 (v5.1)GFXBench: 48fps (ES 3.1 onscreen),1.16 W/kg (head)     0.70 W/kg (body),201 g (7.09 oz),,,Nano-SIMNano-SIM + Nano-SIM,CDMA2000 1xEV-DO,"1, 2, 3, 5, 7, 8, 20, 25, 28, 30, 38, 41, 66, 71, 77 SA/NSA - USA","Laser AF, color spectrum sensor, Hasselblad Color Calibration, Dual-LED dual-tone flash, HDR, panorama",,OnePlus,780 nits max brightness (measured),"LTPO2 Fluid AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 1300 nits (peak)",,Always-on display,"Yes, with stereo speakers","1, 3, 40, 41, 78, 79 SA/NSA - China",GSM / CDMA / HSPA / EVDO / LTE / 5G,"IP68 dust/water resistant - T-Mobile only (not for use underwater, liquid damage is not covered under warranty)",Endurance rating 107h,,Photo/Video,No,"32 MP, f/2.2, (wide), 1/2.74"", 0.8µm","Volcanic Black, Emerald Forest, Panda White (Extreme Edition)",€ 379.52,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 41, 46, 48, 66, 71 - USA",No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 5), aluminum frame",-25.2 LUFS (Very good),UFS 3.1,Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),"GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)","Available. Released 2022, January 13",Li-Po 5000 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 40, 41, 46, 48, 66, 71 - International",OnePlus 10 Pro,,"€ 375.05 / $ 239.95 / £ 338.00 / ₹ 29,999"
