,Type,Dimensions,Messaging,Model Image,_1,Keyboard,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,EDGE,Video,Brand,Status,Sensors,Resolution,Phonebook,WLAN,Single,Build,Price,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Dual_1,Talk time,OS,Loudspeaker,Single_1,Triple,Games,CPU,SAR,Dual,Radio,Type_1,Call records,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,Stand-by,Features,_2,GPRS,Protection,Positioning,Java,_3,Speed
HSDPA 900 / 2100 - SIM 1 or SIM 2,IPS LCD,137 x 68.5 x 11.2 mm (5.39 x 2.70 x 0.44 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-az451.jpg,,,"3.0, A2DP",Yes,Mediatek MT6572 (28 nm),No,Dual SIM (Mini-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDHC,Black,HSDPA 850 / 1900 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 8 h 30 min (3G),Android 4.2 (Jelly Bean),Yes,1.3 MP,,,Dual-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1800 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.5 inches, 55.8 cm2(~59.5% screen-to-body ratio)",,149 g (5.26 oz),"2014, February. Released 2014, April",Yezz Andy AZ4.5,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
Analog TVDigital TV (ISBD-T)Gesture typing,TFT,192 x 112 x 10.2 mm (7.56 x 4.41 x 0.40 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-epic-t7fd.jpg,,,2.0,Yes,,No,No,,No,1080p@30fps,Yezz,Discontinued,Accelerometer,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual band",3.15 MP,,,,microUSB 2.0,Mali-400MP2,4GB 1GB RAM,microSDHC (dedicated slot),"Black, Blue, Green, Orange, Dark Gray",,,,Android 4.2 (Jelly Bean),Yes,1.3 MP,,,Dual-core 1.5 GHz Cortex-A9,,,Stereo FM radio,"Li-Ion 2500 mAh, non-removable",,N/A,"7.0 inches, 139.5 cm2(~64.9% screen-to-body ratio)",,274 g (9.67 oz),"2013, December. Released 2014, January",Yezz Epic T7FD,,No cellular connectivity,Up to 300 h,,,No,,A-GPS only,,,
,"LCD, 256K colors",114 x 62 x 12.5 mm (4.49 x 2.44 x 0.49 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a35ep.jpg,,,"3.0, A2DP",Yes,Mediatek MT6572 (28 nm),No,Dual SIM (Mini-SIM),,,480p@30fps,Yezz,Discontinued,"Accelerometer, proximity","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","5 MP, AF",,,,microUSB,Mali-400,,microSDHC (dedicated slot),"Black, White, Blue, Green, Red",HSDPA 850 / 1900 - SIM 1 or SIM 2,,Up to 15 h (2G) / Up to 8 h (3G),Android 4.2 (Jelly Bean),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1300 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3.5 inches, 36.5 cm2(~51.6% screen-to-body ratio)",,115 g (4.06 oz),"2013, September. Released 2013, November",Yezz Andy A3.5EP,,GSM / HSPA,Up to 600 h (2G) / Up to 400 h (3G),"LED flash, panorama",,,,GPS,,,HSPA 21.1/5.76 Mbps
Gesture typing,TFT,186.8 x 106.7 x 11.6 mm (7.35 x 4.20 x 0.46 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-epic-t7ed.jpg,,,"3.0, A2DP",Yes,Allwinner A20,No,No,,No,1080p@30fps,Yezz,Discontinued,Accelerometer,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual band",3.15 MP,,,,microUSB 2.0,Mali-400MP2,8GB 1GB RAM,microSDHC (dedicated slot),"Black, Blue, Green, Orange, Dark Gray",,,,Android 4.2 (Jelly Bean),Yes,1.3 MP,,,Dual-core 1.2 GHz Cortex-A7,,,No,"Li-Ion 2500 mAh, non-removable",,N/A,"7.0 inches, 137.9 cm2(~69.2% screen-to-body ratio)",,272 g (9.59 oz),"2013, November. Released 2013, December",Yezz Epic T7ED,,No cellular connectivity,Up to 350 h,,,No,,No,,,
,IPS LCD,168 x 85.5 x 9 mm (6.61 x 3.37 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a6m-1gb.jpg,,,"3.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,Dual SIM (Mini-SIM / Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","540 x 900 pixels, 5:3 ratio (~175 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Mali-400MP2,4GB 1GB RAM,microSDXC (dedicated slot),"Black, White, Red",HSDPA 850 / 900 / 2100 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 8 h 30 min (3G),Android 4.4.2 (KitKat),Yes,5 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 2400 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"6.0 inches, 102.5 cm2(~71.3% screen-to-body ratio)",,189 g (6.67 oz),"2013, November. Released 2013, December",Yezz Andy A6M 1GB,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, panorama, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 900 / 2100 - SIM 1 or SIM 2,IPS LCD,168 x 85.5 x 9 mm (6.61 x 3.37 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a6m.jpg,,,"3.0, A2DP",Yes,Mediatek MT6582M (28 nm),No,Dual SIM (Mini-SIM / Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","540 x 900 pixels, 5:3 ratio (~175 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","13 MP, AF",,,,microUSB 2.0,Mali-400MP2,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White, Red",HSDPA 900 / 2100 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 8 h 30 min (3G),Android 4.4.2 (KitKat),Yes,5 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 2400 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"6.0 inches, 102.5 cm2(~71.3% screen-to-body ratio)",,189 g (6.67 oz),"2013, November. Released 2013, December",Yezz Andy A6M,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, panorama, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 900 / 2100 - SIM 1 or SIM 2,IPS LCD,124 x 62.7 x 9 mm (4.88 x 2.47 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a4m.jpg,,,"3.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,Dual SIM (Mini-SIM / Micro-SIM),,,480p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF",,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDHC (dedicated slot),"Black, White, Red",HSDPA 900 / 2100 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 8 h (3G),Android 4.2 (Jelly Bean),Yes,1.3 MP,,,Dual-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1400 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~58.6% screen-to-body ratio)",,118 g (4.16 oz),"2013, November. Released 2013, December",Yezz Andy A4M,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, panorama, HDR",,,,A-GPS only,,,HSPA 7.2/5.76 Mbps
,IPS LCD,125 x 63.7 x 12.5 mm (4.92 x 2.51 x 0.49 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-ac4e.jpg,,,"3.0, A2DP",Yes,Mediatek MT6572 (28 nm),No,Dual SIM (Mini-SIM),,,480p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF",,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDHC (dedicated slot),"Black, White",HSDPA 850 / 1900 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 8 h (3G),Android 4.4.2 (KitKat),Yes,1.3 MP,,,Dual-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1550 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~57.2% screen-to-body ratio)",,133 g (4.69 oz),"2013, November. Released 2013, December",Yezz Andy A4E,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, panorama, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
Gesture typing,IPS LCD,144.1 x 73.5 x 8.6 mm (5.67 x 2.89 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a5.jpg,,,"3.0, A2DP",Yes,Mediatek MT6589M (28 nm),No,Dual SIM (Mini-SIM and Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","13.1 MP, AF",,,,microUSB,PowerVR SGX544,4GB 1GB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 900 / 2100 SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 14 h (3G),Android 4.2 (Jelly Bean),Yes,2 MP,,,Quad-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",,106 g without battery (3.74 oz),"2013, November. Released 2013, December",Yezz Andy A5 1GB,,GSM / HSPA,Up to 750 h (2G) / Up to 600 h (3G),"LED flash, HDR",,,,GPS,,,HSPA 21.1/11.5 Mbps
,IPS LCD,132 x 65.6 x 8.6 mm (5.20 x 2.58 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a4-5.jpg,,,"3.0, A2DP",Yes,Mediatek MT6589M (28 nm),No,Dual SIM (Mini-SIM and Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer,  proximity","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","13 MP, AF",,,,microUSB 2.0,PowerVR SGX544,4GB 1GB RAM,microSDXC (dedicated slot),"Black, White",HSDPA 850 / 900 / 2100 - SIM 1 or SIM 2,,Up to 16 h (2G) / Up to 8 h (3G),Android 4.2 (Jelly Bean),Yes,1.3 MP,,,Quad-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Po 1500 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.5 inches, 55.8 cm2(~64.5% screen-to-body ratio)",,102 g without battery (3.60 oz),"2013, November. Released 2013, December",Yezz Andy A4.5 1GB,,GSM / HSPA,Up to 600 h (2G) / Up to 550 h (3G),"LED flash, panorama, HDR",,,,GPS,,,HSPA 21.1/11.5 Mbps
,IPS LCD,132 x 65.6 x 8.6 mm (5.20 x 2.58 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a45.jpg,,,"3.0, A2DP",Yes,Mediatek MT6589 (28 nm),No,Dual SIM (Mini-SIM and Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, gyro, proximity, compass","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","13 MP, AF",,,,microUSB 2.0,PowerVR SGX544,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White",HSDPA 850 / 1900 / 900 - SIM 1,,Up to 16 h (2G) / Up to 14 h (3G),Android 4.2 (Jelly Bean),Yes,1.3 MP,,,Quad-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1500 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.5 inches, 55.8 cm2(~64.5% screen-to-body ratio)",,102 g without battery (3.60 oz),"2013, March. Released 2013, May",Yezz Andy A4.5,,GSM / HSPA,Up to 600 h (2G) / Up to 550 h (3G),"LED flash, panorama, HDR",,,,GPS,,,HSPA 21.1/11.5 Mbps
,IPS LCD,124.5 x 63.5 x 9.8 mm (4.90 x 2.5 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a4.jpg,,,3.0,Yes,Mediatek MT6577T (40 nm),No,Dual SIM (Mini-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, gyro, proximity, compass","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","8 MP, AF",,,,microUSB 2.0,PowerVR SGX531u,4GB 512MB RAM,microSDHC (dedicated slot),"Black, White",HSDPA 850 / 1900 - SIM 1 only,,Up to 16 h (2G) / Up to 8 h (3G),Android 4.1 (Jelly Bean),Yes,VGA,,,Dual-core 1.2 GHz Cortex-A9,,,Stereo FM radio,"Li-Ion 1400 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~57.6% screen-to-body ratio)",,104 g without battery (3.67 oz),"2013, March. Released 2013, April",Yezz Andy A4,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, panorama, HDR",,,,A-GPS only,,,HSPA 7.2/5.76 Mbps
,LCD,114.7 x 61.5 x 11.9 mm (4.52 x 2.42 x 0.47 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-a351.jpg,,,"3.0, EDR",Yes,Mediatek MT6575 (40 nm),No,Dual SIM (Mini-SIM),,,Yes,Yezz,Discontinued,"Accelerometer, proximity","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"Wi-Fi 802.11 b/g, hotspot",3.2 MP,,,,microUSB,PowerVR SGX531,,microSDHC (dedicated slot),"Black, White",HSDPA 850 / 1900 - SIM 1 only,,Up to 15 h (2G) / Up to 6 h 30 min (3G),Android 4.0 (Ice Cream Sandwich),Yes,VGA,,,1.0 GHz Cortex-A9,,,Stereo FM radio,"Li-Ion 1300 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3.5 inches, 36.5 cm2(~51.7% screen-to-body ratio)",,82 g without battery (2.89 oz),"2012, June. Released 2012, November",Yezz Andy A3.5,,GSM / HSPA,Up to 713 h (2G) / Up to 428 h (3G),"LED flash, panorama",,,,GPS,,,HSPA 7.2/5.76 Mbps
Flashlight,"TFT, 256K colors",105 x 45 x 14.4 mm (4.13 x 1.77 x 0.57 in),"SMS, IM",https://fdn2.gsmarena.com/vv/bigpic/yezz-classic-c10.jpg,No,,Yes,No,,No,Dual SIM (Mini-SIM),,No,Yes,Yezz,Discontinued,,128 x 160 pixels (~114 ppi density),Yes,No,VGA,,,,Proprietary,,64Mb 64Mb RAM,microSDHC (dedicated slot),"Blue, Gray, Purple, Red, White, Black",,,Up to 4 h,,Yes,,,Yes,,,,Stereo FM radio,"Li-Ion 550 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900,"1.8 inches, 10.2 cm2(~21.6% screen-to-body ratio)",,55 g without battery (1.94 oz),"2012, February. Released 2012, April",Yezz Classic CC10,,GSM,Up to 150 h,,"Facebook, TwitterVideo PlayerMusic PlayerOrganizerPredictive Text Input",Up to 48 kbps,,No,No,,
GSM 850 / 900 / 1800 / 1900 - SIM 2,IPS LCD,144.1 x 73.5 x 8.6 mm (5.67 x 2.89 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-pro-a50-new.jpg,Gesture typing,,"3.0, A2DP",Yes,Mediatek MT6589M (28 nm),No,Dual SIM (Mini-SIM and Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, gyro, proximity, compass","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","13.1 MP, AF",,About 190 EUR,,microUSB,PowerVR SGX544,4GB 512MB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 1900  / 900 - SIM 1,,Up to 16 h (2G) / Up to 14 h (3G),Android 4.2 (Jelly Bean),Yes,2 MP,,,Quad-core 1.2 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",,106 g without battery (3.74 oz),"2013, March. Released 2013, June",Yezz Andy A5,,GSM / HSPA,Up to 750 h (2G) / Up to 600 h (3G),"LED flash, HDR",,,,GPS,,,HSPA 21.1/11.5 Mbps
Gesture typing,TFT,177.8 x 121.4 x 10.2 mm (7.00 x 4.78 x 0.40 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-tab-t20-new.jpg,,,No,Yes,Allwinner A13,No,No,,No,480p@30fps,Yezz,Discontinued,Accelerometer,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual band",2 MP,,,,microUSB 2.0,Mali-400,16GB 512MB RAM,microSDXC (dedicated slot),"Black, Blue, Green, Orange, Dark Gray",,,,Android 4.1 (Jelly Bean),Yes,VGA,,,1.2 GHz Cortex-A8,,,No,"Li-Ion 2600 mAh, non-removable",,N/A,"7.0 inches, 139.5 cm2(~64.6% screen-to-body ratio)",,293 g (10.34 oz),"2013, March. Released 2013, April",Yezz Epic T7,,No cellular connectivity,Up to 200 h,,,No,,No,,,
Flashlight,"TFT, 65K colors",110 x 48 x 13.3 mm (4.33 x 1.89 x 0.52 in),"SMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/yezz-clasico-2-new.jpg,No,,"2.1, A2DP",Yes,,No,Triple SIM (Mini-SIM),,No,Yes,Yezz,Discontinued,,176 x 220 pixels (~128 ppi density),Yes,No,1.3 MP,,,,microUSB,,64Mb 32Mb RAM,microSDHC (dedicated slot),"Blue, Gray, White",,,Up to 7 h,,Yes,,,Yes,,,,Stereo FM radio,"Li-Ion 1000 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,"2.2 inches, 15.2 cm2(~28.8% screen-to-body ratio)",,54 g without battery (1.90 oz),"2012, November. Released 2013, January",Yezz Classic C30,,GSM,Up to 680 h,,"Facebook, TwitterVideo PlayerMusic PlayerOrganizerPredictive text input",Up to 48 kbps,,No,No,,
No,"TFT, 256K colors",99.6 x 53.8 x 13.5 mm (3.92 x 2.12 x 0.53 in),"SMS, MMS, IM",https://fdn2.gsmarena.com/vv/bigpic/yezz-bonito-latest.jpg,SNS appsAnalog TVVideo PlayerMusic PlayerOrganizer,QWERTY,2.0,No,,No,Dual SIM (Mini-SIM),,No,Yes,Yezz,Discontinued,,220 x 170 pixels (~139 ppi density),Yes,No,1.3 MP,,,,miniUSB,,128Mb 64Mb RAM,microSDHC (dedicated slot),"Blue, Gray, Pink, Red, Violet",,,Up to 3 h,,Yes,,,Yes,,0.54 W/kg (head)     0.69 W/kg (body),,"Stereo FM radio, recording","Li-Ion 800 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2.0 inches, 12.5 cm2(~23.3% screen-to-body ratio)",,65 g (2.29 oz),"2011, November. Released 2011, November",Yezz Bonito YZ500,,GSM,Up to 144 h,,,Up to 48 kbps,,No,Yes,,
